 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2022
"Município";"Nascim_p/resid.mãe"
"291790 JANDAIRA";115
"291800 JEQUIE";2023
"291810 JEREMOABO";463
"291820 JIQUIRICA";130
"291830 JITAUNA";149
"291835 JOAO DOURADO";380
"291840 JUAZEIRO";3854
"291845 JUCURUCU";99
"291850 JUSSARA";189
"291855 JUSSARI";48
"291860 JUSSIAPE";62
"291870 LAFAIETE COUTINHO";36
"291875 LAGOA REAL";111
"291880 LAJE";235
"291890 LAJEDAO";38
"291900 LAJEDINHO";32
"291905 LAJEDO DO TABOCAL";63
"291910 LAMARAO";82
"291915 LAPAO";372
"291920 LAURO DE FREITAS";2575
"291930 LENCOIS";103
"291940 LICINIO DE ALMEIDA";127
"291950 LIVRAMENTO DE NOSSA SENHORA";501
"291955 LUIS EDUARDO MAGALHAES";2114
"291960 MACAJUBA";120
"291970 MACARANI";146
"291980 MACAUBAS";467
"291990 MACURURE";93
"291992 MADRE DE DEUS";180
"291995 MAETINGA";59
"292000 MAIQUINIQUE";109
"292010 MAIRI";148
"292020 MALHADA";230
"292030 MALHADA DE PEDRAS";93
"292040 MANOEL VITORINO";138
"292045 MANSIDAO";76
"292050 MARACAS";302
"292060 MARAGOGIPE";404
"292070 MARAU";257
"292080 MARCIONILIO SOUZA";112
"292090 MASCOTE";125
"292100 MATA DE SAO JOAO";649
"292105 MATINA";107
"292110 MEDEIROS NETO";288
"292120 MIGUEL CALMON";306
"292130 MILAGRES";136
"292140 MIRANGABA";155
"292145 MIRANTE";100
"292150 MONTE SANTO";603
"292160 MORPARA";102
"292170 MORRO DO CHAPEU";392
"292180 MORTUGABA";117
"292190 MUCUGE";174
"292200 MUCURI";568
"292205 MULUNGU DO MORRO";193
"292210 MUNDO NOVO";155
"292220 MUNIZ FERREIRA";67
"292225 MUQUEM DE SAO FRANCISCO";162
"292230 MURITIBA";309
"292240 MUTUIPE";246
"292250 NAZARE";240
"292260 NILO PECANHA";159
"292265 NORDESTINA";157
"292270 NOVA CANAA";126
"292273 NOVA FATIMA";75
"292275 NOVA IBIA";33
"292280 NOVA ITARANA";86
"292285 NOVA REDENCAO";84
"292290 NOVA SOURE";308
"292300 NOVA VICOSA";519
"292303 NOVO HORIZONTE";136
"292305 NOVO TRIUNFO";104
"292310 OLINDINA";244
