 Óbitos infantis - Bahia
Óbitos p/Ocorrênc por Município e Local ocorrência
Período:2022
"Município";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"290950 CRAVOLANDIA";-;-;-;1;-;-;1
"290960 CRISOPOLIS";1;-;-;-;-;-;1
"290970 CRISTOPOLIS";-;-;-;-;-;-;-
"290980 CRUZ DAS ALMAS";5;-;-;-;-;-;5
"290990 CURACA";2;-;-;-;1;-;3
"291000 DARIO MEIRA";-;-;-;-;-;-;-
"291005 DIAS D'AVILA";3;-;2;-;-;-;5
"291010 DOM BASILIO";-;-;-;-;-;-;-
"291020 DOM MACEDO COSTA";-;-;-;-;-;-;-
"291030 ELISIO MEDRADO";-;-;-;-;-;-;-
"291040 ENCRUZILHADA";1;-;1;-;-;-;2
"291050 ENTRE RIOS";3;1;1;-;-;-;5
"291060 ESPLANADA";2;-;-;-;-;-;2
"291070 EUCLIDES DA CUNHA";4;-;-;-;-;-;4
"291072 EUNAPOLIS";27;-;-;1;-;-;28
"291075 FATIMA";1;-;1;-;-;-;2
"291077 FEIRA DA MATA";-;-;-;-;-;-;-
"291080 FEIRA DE SANTANA";275;2;1;-;1;-;279
"291085 FILADELFIA";1;-;-;-;-;-;1
"291090 FIRMINO ALVES";-;-;-;-;-;-;-
"291100 FLORESTA AZUL";-;-;-;-;-;-;-
"291110 FORMOSA DO RIO PRETO";-;-;-;-;-;-;-
"291120 GANDU";2;-;2;-;-;-;4
"291125 GAVIAO";-;-;-;-;-;-;-
"291130 GENTIO DO OURO";-;-;-;-;-;-;-
"291140 GLORIA";-;-;1;-;-;-;1
"291150 GONGOGI";-;-;-;1;-;-;1
"291160 GOVERNADOR MANGABEIRA";-;-;-;-;-;-;-
"291165 GUAJERU";-;-;-;-;-;-;-
"291170 GUANAMBI";23;-;-;-;-;-;23
"291180 GUARATINGA";1;-;-;-;-;-;1
"291185 HELIOPOLIS";-;-;-;-;-;-;-
"291190 IACU";-;-;2;-;1;-;3
"291200 IBIASSUCE";-;-;-;-;-;-;-
"291210 IBICARAI";-;-;-;-;-;-;-
"291220 IBICOARA";-;-;-;-;-;-;-
"291230 IBICUI";1;-;-;1;-;-;2
"291240 IBIPEBA";1;-;-;-;-;-;1
"291250 IBIPITANGA";1;-;-;-;-;-;1
"291260 IBIQUERA";-;-;-;-;-;-;-
"291270 IBIRAPITANGA";2;-;-;2;-;-;4
"291280 IBIRAPUA";-;-;-;-;-;-;-
"291290 IBIRATAIA";1;-;-;-;-;-;1
"291300 IBITIARA";-;-;-;-;-;-;-
"291310 IBITITA";1;-;-;-;-;-;1
"291320 IBOTIRAMA";8;-;-;-;-;-;8
"291330 ICHU";-;-;-;-;-;-;-
"291340 IGAPORA";-;-;-;-;-;-;-
"291345 IGRAPIUNA";1;-;-;-;-;-;1
"291350 IGUAI";-;-;-;-;-;-;-
"291360 ILHEUS";46;1;-;-;1;-;48
"291370 INHAMBUPE";1;-;-;-;-;-;1
"291380 IPECAETA";-;-;-;-;-;-;-
"291390 IPIAU";4;-;-;-;-;-;4
"291400 IPIRA";1;-;1;-;-;-;2
"291410 IPUPIARA";-;-;-;-;-;-;-
"291420 IRAJUBA";1;-;-;-;-;-;1
"291430 IRAMAIA";-;-;-;-;-;-;-
"291440 IRAQUARA";2;-;-;-;-;-;2
"291450 IRARA";-;-;-;-;-;-;-
"291460 IRECE";46;-;1;1;-;-;48
"291465 ITABELA";4;-;-;-;-;-;4
"291470 ITABERABA";8;-;-;-;-;-;8
"291480 ITABUNA";112;-;1;-;-;-;113
"291490 ITACARE";1;-;1;-;2;-;4
"291500 ITAETE";1;-;-;-;-;-;1
"291510 ITAGI";-;-;-;-;-;-;-
"291520 ITAGIBA";-;-;1;-;-;-;1
"291530 ITAGIMIRIM";-;-;-;-;-;-;-
"291535 ITAGUACU DA BAHIA";-;-;-;-;-;-;-
"291540 ITAJU DO COLONIA";-;-;-;-;-;-;-
"291550 ITAJUIPE";-;-;-;-;-;-;-
"291560 ITAMARAJU";11;-;-;-;-;-;11
"291570 ITAMARI";-;-;-;-;-;-;-
"291580 ITAMBE";-;-;-;-;-;-;-
"291590 ITANAGRA";-;-;-;-;-;-;-
"291600 ITANHEM";2;-;-;-;-;-;2
"291610 ITAPARICA";2;-;-;1;-;-;3
"291620 ITAPE";-;-;-;-;-;-;-
"291630 ITAPEBI";-;-;-;-;-;-;-
"291640 ITAPETINGA";9;-;-;-;-;-;9
"291650 ITAPICURU";1;-;1;-;-;-;2
"291660 ITAPITANGA";-;-;-;-;-;-;-
"291670 ITAQUARA";1;-;-;-;-;-;1
"291680 ITARANTIM";1;-;-;-;-;-;1
"291685 ITATIM";1;-;-;-;-;-;1
"291690 ITIRUCU";-;-;-;-;-;-;-
"291700 ITIUBA";-;-;-;-;-;-;-
"291710 ITORORO";2;-;-;-;-;-;2
"291720 ITUACU";1;-;-;-;-;-;1
"291730 ITUBERA";-;-;-;-;1;-;1
"291733 IUIU";2;-;-;-;-;-;2
"291735 JABORANDI";-;-;-;-;-;-;-
"291740 JACARACI";1;-;-;-;-;-;1
"291750 JACOBINA";13;-;1;1;-;-;15
"291760 JAGUAQUARA";1;1;-;-;-;-;2
"291770 JAGUARARI";1;-;-;-;-;-;1
"291780 JAGUARIPE";-;-;-;-;-;-;-
"291790 JANDAIRA";-;-;-;-;-;-;-
"291800 JEQUIE";38;-;-;-;-;-;38
"291810 JEREMOABO";-;-;-;-;-;-;-
"291820 JIQUIRICA";-;-;-;-;-;-;-
"291830 JITAUNA";-;-;-;-;-;-;-
"291835 JOAO DOURADO";4;-;1;-;-;-;5
"291840 JUAZEIRO";19;1;2;-;-;-;22
"291845 JUCURUCU";-;-;-;-;-;-;-
"291850 JUSSARA";-;-;-;-;-;-;-
"291855 JUSSARI";-;-;-;-;-;-;-
"291860 JUSSIAPE";-;-;-;-;-;-;-
"291870 LAFAIETE COUTINHO";-;-;-;-;-;-;-
"291875 LAGOA REAL";-;-;-;-;-;-;-
"291880 LAJE";1;-;-;-;-;-;1
"291890 LAJEDAO";-;-;-;-;-;-;-
"291900 LAJEDINHO";-;-;-;-;-;-;-
"291905 LAJEDO DO TABOCAL";-;-;-;-;-;-;-
"291910 LAMARAO";-;-;-;-;-;-;-
"291915 LAPAO";-;-;-;1;-;-;1
"291920 LAURO DE FREITAS";4;2;1;-;-;-;7
"291930 LENCOIS";2;-;-;-;-;-;2
"291940 LICINIO DE ALMEIDA";-;-;-;-;-;-;-
"291950 LIVRAMENTO DE NOSSA SENHORA";-;1;-;-;-;-;1
"291955 LUIS EDUARDO MAGALHAES";8;1;-;-;1;-;10
"291960 MACAJUBA";-;-;-;-;-;-;-
"291970 MACARANI";-;-;-;-;-;-;-
"291980 MACAUBAS";1;-;1;-;-;-;2
"291990 MACURURE";-;-;-;-;-;-;-
"291992 MADRE DE DEUS";-;-;-;-;-;-;-
"291995 MAETINGA";-;-;-;-;-;-;-
"292000 MAIQUINIQUE";1;-;2;-;-;-;3
"292010 MAIRI";-;-;-;-;-;-;-
"292020 MALHADA";-;-;-;-;-;-;-
"292030 MALHADA DE PEDRAS";-;-;-;-;-;-;-
"292040 MANOEL VITORINO";-;-;-;-;-;-;-
"292045 MANSIDAO";-;-;-;-;-;-;-
"292050 MARACAS";-;-;1;-;-;-;1
"292060 MARAGOGIPE";-;1;-;-;-;-;1
"292070 MARAU";-;-;-;-;-;-;-
"292080 MARCIONILIO SOUZA";-;-;-;-;-;-;-
"292090 MASCOTE";-;-;-;-;-;-;-
"292100 MATA DE SAO JOAO";3;-;1;-;-;-;4
"292105 MATINA";1;-;-;-;-;-;1
"292110 MEDEIROS NETO";1;-;1;-;-;-;2
"292120 MIGUEL CALMON";7;-;-;-;-;-;7
"292130 MILAGRES";-;-;1;-;-;-;1
"292140 MIRANGABA";-;-;-;-;-;-;-
"292145 MIRANTE";-;-;-;-;-;-;-
"292150 MONTE SANTO";6;-;-;-;-;-;6
"292160 MORPARA";-;-;-;-;-;-;-
"292170 MORRO DO CHAPEU";-;-;-;-;-;-;-
"292180 MORTUGABA";-;-;-;-;-;-;-
"292190 MUCUGE";1;-;-;-;-;-;1
"292200 MUCURI";1;-;1;1;-;-;3
"292205 MULUNGU DO MORRO";-;-;-;-;-;-;-
"292210 MUNDO NOVO";-;-;-;-;-;-;-
"292220 MUNIZ FERREIRA";-;-;-;-;-;-;-
"292225 MUQUEM DE SAO FRANCISCO";-;-;-;-;-;-;-
"292230 MURITIBA";-;-;-;-;-;-;-
"292240 MUTUIPE";1;-;-;-;-;-;1
"292250 NAZARE";-;-;-;-;-;-;-
"292260 NILO PECANHA";-;-;-;-;-;-;-
"292265 NORDESTINA";-;-;-;-;-;-;-
"292270 NOVA CANAA";-;-;1;-;-;-;1
"292273 NOVA FATIMA";-;-;-;-;-;-;-
"292275 NOVA IBIA";-;-;-;-;-;-;-
"292280 NOVA ITARANA";-;-;-;-;-;-;-
"292285 NOVA REDENCAO";-;-;-;-;-;-;-
"292290 NOVA SOURE";-;-;-;-;-;-;-
"292300 NOVA VICOSA";1;1;1;-;-;-;3
"292303 NOVO HORIZONTE";-;-;-;-;-;-;-
"292305 NOVO TRIUNFO";-;-;-;-;-;-;-
"292310 OLINDINA";-;-;-;-;-;-;-
"292320 OLIVEIRA DOS BREJINHOS";-;-;-;-;-;-;-
"292330 OURICANGAS";-;-;-;-;-;-;-
"292335 OUROLANDIA";1;-;-;-;-;-;1
"292340 PALMAS DE MONTE ALTO";-;-;-;-;-;-;-
"292350 PALMEIRAS";-;1;-;-;-;-;1
"292360 PARAMIRIM";2;-;-;-;-;-;2
"292370 PARATINGA";3;-;1;-;-;-;4
"292380 PARIPIRANGA";-;-;-;-;-;-;-
"292390 PAU BRASIL";-;-;-;-;-;-;-
"292400 PAULO AFONSO";9;-;1;1;-;-;11
"292405 PE DE SERRA";-;-;-;-;-;-;-
"292410 PEDRAO";-;-;-;-;-;-;-
"292420 PEDRO ALEXANDRE";-;-;1;-;-;-;1
"292430 PIATA";2;-;-;-;-;-;2
"292440 PILAO ARCADO";3;-;-;-;-;-;3
"292450 PINDAI";-;-;-;-;-;-;-
"292460 PINDOBACU";1;-;-;-;-;-;1
"292465 PINTADAS";-;-;-;-;-;-;-
"292467 PIRAI DO NORTE";-;-;-;-;-;-;-
"292470 PIRIPA";-;-;-;-;-;-;-
"292480 PIRITIBA";-;-;-;-;-;-;-
"292490 PLANALTINO";-;-;-;-;-;-;-
"292500 PLANALTO";1;-;-;-;-;-;1
"292510 POCOES";1;-;-;-;-;-;1
"292520 POJUCA";3;-;-;-;-;-;3
"292525 PONTO NOVO";2;-;-;-;-;-;2
"292530 PORTO SEGURO";34;1;2;-;1;-;38
"292540 POTIRAGUA";-;-;-;-;-;-;-
"292550 PRADO";1;1;2;-;-;-;4
"292560 PRESIDENTE DUTRA";-;-;-;-;-;-;-
"292570 PRESIDENTE JANIO QUADROS";-;1;-;-;-;-;1
"292575 PRESIDENTE TANCREDO NEVES";1;-;-;1;-;-;2
"292580 QUEIMADAS";-;3;1;-;-;-;4
"292590 QUIJINGUE";3;-;-;-;-;-;3
"292593 QUIXABEIRA";-;-;-;-;-;-;-
"292595 RAFAEL JAMBEIRO";-;-;-;-;-;-;-
"292600 REMANSO";3;4;1;-;-;-;8
"292610 RETIROLANDIA";-;-;-;-;-;-;-
"292620 RIACHAO DAS NEVES";-;-;1;-;-;-;1
"292630 RIACHAO DO JACUIPE";2;-;-;-;-;-;2
"292640 RIACHO DE SANTANA";-;-;-;-;-;-;-
"292650 RIBEIRA DO AMPARO";-;-;-;-;-;-;-
"292660 RIBEIRA DO POMBAL";41;-;-;-;-;-;41
"292665 RIBEIRAO DO LARGO";-;-;-;-;-;-;-
"292670 RIO DE CONTAS";1;-;-;-;-;-;1
"292680 RIO DO ANTONIO";-;-;-;-;-;-;-
"292690 RIO DO PIRES";-;-;-;-;-;-;-
"292700 RIO REAL";3;-;-;-;-;-;3
"292710 RODELAS";1;-;-;1;-;-;2
"292720 RUY BARBOSA";-;-;-;-;-;-;-
"292730 SALINAS DA MARGARIDA";1;-;-;-;-;-;1
"292740 SALVADOR";883;28;1;-;1;-;913
"292750 SANTA BARBARA";-;-;-;-;-;-;-
"292760 SANTA BRIGIDA";-;-;2;-;1;-;3
"292770 SANTA CRUZ CABRALIA";-;-;-;-;-;-;-
"292780 SANTA CRUZ DA VITORIA";-;-;-;-;-;-;-
"292790 SANTA INES";1;-;-;-;-;-;1
"292800 SANTALUZ";3;-;-;-;-;-;3
"292805 SANTA LUZIA";-;1;1;-;-;-;2
"292810 SANTA MARIA DA VITORIA";8;-;1;-;-;-;9
"292820 SANTANA";1;-;-;-;1;-;2
"292830 SANTANOPOLIS";-;-;-;-;-;-;-
"292840 SANTA RITA DE CASSIA";-;-;-;-;-;-;-
"292850 SANTA TEREZINHA";-;-;-;-;-;-;-
"292860 SANTO AMARO";2;-;-;-;-;-;2
"292870 SANTO ANTONIO DE JESUS";25;-;-;-;-;-;25
"292880 SANTO ESTEVAO";-;-;-;-;-;-;-
"292890 SAO DESIDERIO";1;1;1;-;-;-;3
"292895 SAO DOMINGOS";-;-;-;-;-;-;-
"292900 SAO FELIX";2;-;-;-;-;-;2
"292905 SAO FELIX DO CORIBE";1;-;-;-;-;-;1
"292910 SAO FELIPE";-;-;-;-;-;-;-
"292920 SAO FRANCISCO DO CONDE";4;-;1;-;-;-;5
"292925 SAO GABRIEL";-;-;-;-;-;-;-
"292930 SAO GONCALO DOS CAMPOS";-;-;-;-;-;-;-
"292935 SAO JOSE DA VITORIA";-;-;-;-;-;-;-
"292937 SAO JOSE DO JACUIPE";-;-;-;-;-;-;-
"292940 SAO MIGUEL DAS MATAS";-;-;-;-;-;-;-
"292950 SAO SEBASTIAO DO PASSE";2;-;-;-;-;-;2
"292960 SAPEACU";1;-;-;-;-;-;1
"292970 SATIRO DIAS";-;-;1;-;-;-;1
"292975 SAUBARA";-;-;-;-;-;-;-
"292980 SAUDE";-;-;-;-;-;-;-
"292990 SEABRA";19;-;2;1;1;-;23
"293000 SEBASTIAO LARANJEIRAS";-;-;-;-;-;-;-
"293010 SENHOR DO BONFIM";6;3;-;-;-;-;9
"293015 SERRA DO RAMALHO";3;-;-;-;1;-;4
"293020 SENTO SE";1;-;1;-;-;-;2
"293030 SERRA DOURADA";-;-;-;-;-;-;-
"293040 SERRA PRETA";-;-;-;-;-;-;-
"293050 SERRINHA";3;-;-;-;-;-;3
"293060 SERROLANDIA";-;-;-;-;-;-;-
"293070 SIMOES FILHO";6;-;-;-;-;-;6
"293075 SITIO DO MATO";-;-;-;-;-;-;-
"293076 SITIO DO QUINTO";-;-;1;-;-;-;1
"293077 SOBRADINHO";1;-;1;1;-;-;3
"293080 SOUTO SOARES";-;-;-;-;-;-;-
"293090 TABOCAS DO BREJO VELHO";-;-;-;-;-;-;-
"293100 TANHACU";1;-;-;-;-;-;1
"293105 TANQUE NOVO";-;-;1;-;-;-;1
"293110 TANQUINHO";-;-;-;1;1;-;2
"293120 TAPEROA";-;-;-;-;-;-;-
"293130 TAPIRAMUTA";-;-;-;-;-;-;-
"293135 TEIXEIRA DE FREITAS";39;-;2;-;-;-;41
"293140 TEODORO SAMPAIO";-;-;-;-;-;-;-
"293150 TEOFILANDIA";-;-;1;-;-;-;1
"293160 TEOLANDIA";-;-;1;-;-;-;1
"293170 TERRA NOVA";-;-;-;-;-;-;-
"293180 TREMEDAL";-;-;-;-;-;-;-
"293190 TUCANO";2;-;-;-;-;-;2
"293200 UAUA";3;-;1;-;-;-;4
"293210 UBAIRA";2;-;-;-;-;-;2
"293220 UBAITABA";2;-;-;-;-;-;2
"293230 UBATA";1;-;-;-;-;-;1
"293240 UIBAI";-;-;-;-;-;-;-
"293245 UMBURANAS";-;-;-;-;-;-;-
"293250 UNA";2;-;1;-;-;-;3
"293260 URANDI";-;-;-;-;-;-;-
"293270 URUCUCA";-;1;1;-;-;-;2
"293280 UTINGA";-;-;-;-;2;-;2
"293290 VALENCA";23;-;-;-;-;-;23
"293300 VALENTE";-;-;-;-;-;-;-
"293305 VARZEA DA ROCA";1;-;-;-;-;-;1
"293310 VARZEA DO POCO";-;-;-;-;-;-;-
"293315 VARZEA NOVA";3;-;-;-;-;-;3
"293317 VARZEDO";-;-;-;-;-;-;-
"293320 VERA CRUZ";-;-;-;-;-;-;-
"293325 VEREDA";-;-;1;-;-;-;1
"293330 VITORIA DA CONQUISTA";149;-;5;-;-;-;154
"293340 WAGNER";-;-;-;-;-;-;-
"293345 WANDERLEY";-;-;-;-;-;-;-
"293350 WENCESLAU GUIMARAES";1;-;-;-;-;-;1
"293360 XIQUE-XIQUE";5;-;3;-;-;-;8
"Total";2327;76;86;20;22;1;2532
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
