 Nascidos vivos - Bahia
Nascim p/resid.mãe por Município
Período:2018-2022
"Município";"Nascim_p/resid.mãe"
"291733 IUIU";643
"291735 JABORANDI";774
"291740 JACARACI";638
"291750 JACOBINA";6477
"291760 JAGUAQUARA";3524
"291770 JAGUARARI";2093
"291780 JAGUARIPE";1012
"291790 JANDAIRA";682
"291800 JEQUIE";11293
"291810 JEREMOABO";2483
"291820 JIQUIRICA";751
"291830 JITAUNA";849
"291835 JOAO DOURADO";1956
"291840 JUAZEIRO";21075
"291845 JUCURUCU";492
"291850 JUSSARA";996
"291855 JUSSARI";304
"291860 JUSSIAPE";314
"291870 LAFAIETE COUTINHO";234
"291875 LAGOA REAL";637
"291880 LAJE";1362
"291890 LAJEDAO";203
"291900 LAJEDINHO";206
"291905 LAJEDO DO TABOCAL";353
"291910 LAMARAO";442
"291915 LAPAO";1997
"291920 LAURO DE FREITAS";14644
"291930 LENCOIS";651
"291940 LICINIO DE ALMEIDA";625
"291950 LIVRAMENTO DE NOSSA SENHORA";2726
"291955 LUIS EDUARDO MAGALHAES";10143
"291960 MACAJUBA";654
"291970 MACARANI";877
"291980 MACAUBAS";2605
"291990 MACURURE";488
"291992 MADRE DE DEUS";1196
"291995 MAETINGA";373
"292000 MAIQUINIQUE";525
"292010 MAIRI";880
"292020 MALHADA";1117
"292030 MALHADA DE PEDRAS";492
"292040 MANOEL VITORINO";878
"292045 MANSIDAO";423
"292050 MARACAS";1610
"292060 MARAGOGIPE";2183
"292070 MARAU";1379
"292080 MARCIONILIO SOUZA";575
"292090 MASCOTE";674
"292100 MATA DE SAO JOAO";3597
"292105 MATINA";644
"292110 MEDEIROS NETO";1471
"292120 MIGUEL CALMON";1757
"292130 MILAGRES";695
"292140 MIRANGABA";892
"292145 MIRANTE";473
"292150 MONTE SANTO";3248
"292160 MORPARA";508
"292170 MORRO DO CHAPEU";2375
"292180 MORTUGABA";585
"292190 MUCUGE";771
"292200 MUCURI";3082
"292205 MULUNGU DO MORRO";1005
"292210 MUNDO NOVO";912
"292220 MUNIZ FERREIRA";382
"292225 MUQUEM DE SAO FRANCISCO";863
"292230 MURITIBA";1578
"292240 MUTUIPE";1308
"292250 NAZARE";1428
"292260 NILO PECANHA";865
"292265 NORDESTINA";774
"292270 NOVA CANAA";718
"292273 NOVA FATIMA";363
"292275 NOVA IBIA";239
"292280 NOVA ITARANA";560
"292285 NOVA REDENCAO";449
"292290 NOVA SOURE";1624
"292300 NOVA VICOSA";2480
"292303 NOVO HORIZONTE";688
"292305 NOVO TRIUNFO";527
"292310 OLINDINA";1422
"292320 OLIVEIRA DOS BREJINHOS";1345
"292330 OURICANGAS";391
