 Mortalidade - Bahia
Óbitos p/Residênc por Município
Faixa Etária: Menor 1 ano
Período:2022
"Município";"Óbitos_p/Residênc"
" MUNICIPIO IGNORADO - BA";7
"290010 ABAIRA";1
"290020 ABARE";2
"290030 ACAJUTIBA";2
"290035 ADUSTINA";3
"290040 AGUA FRIA";2
"290050 ERICO CARDOSO";2
"290060 AIQUARA";-
"290070 ALAGOINHAS";24
"290080 ALCOBACA";5
"290090 ALMADINA";1
"290100 AMARGOSA";7
"290110 AMELIA RODRIGUES";1
"290115 AMERICA DOURADA";-
"290120 ANAGE";3
"290130 ANDARAI";1
"290135 ANDORINHA";2
"290140 ANGICAL";7
"290150 ANGUERA";-
"290160 ANTAS";1
"290170 ANTONIO CARDOSO";2
"290180 ANTONIO GONCALVES";2
"290190 APORA";2
"290195 APUAREMA";2
"290200 ARACATU";3
"290205 ARACAS";4
"290210 ARACI";10
"290220 ARAMARI";1
"290225 ARATACA";1
"290230 ARATUIPE";1
"290240 AURELINO LEAL";10
"290250 BAIANOPOLIS";2
"290260 BAIXA GRANDE";2
"290265 BANZAE";1
"290270 BARRA";19
"290280 BARRA DA ESTIVA";2
"290290 BARRA DO CHOCA";9
"290300 BARRA DO MENDES";1
"290310 BARRA DO ROCHA";-
"290320 BARREIRAS";31
"290323 BARRO ALTO";1
"290327 BARROCAS";6
"290330 BARRO PRETO";2
"290340 BELMONTE";3
"290350 BELO CAMPO";3
"290360 BIRITINGA";4
"290370 BOA NOVA";1
"290380 BOA VISTA DO TUPIM";1
"290390 BOM JESUS DA LAPA";13
"290395 BOM JESUS DA SERRA";-
"290400 BONINAL";6
"290405 BONITO";3
"290410 BOQUIRA";3
"290420 BOTUPORA";1
"290430 BREJOES";4
"290440 BREJOLANDIA";2
"290450 BROTAS DE MACAUBAS";1
"290460 BRUMADO";7
"290470 BUERAREMA";3
"290475 BURITIRAMA";4
"290480 CAATIBA";-
"290485 CABACEIRAS DO PARAGUACU";3
"290490 CACHOEIRA";3
"290500 CACULE";4
"290510 CAEM";1
"290515 CAETANOS";1
"290520 CAETITE";11
"290530 CAFARNAUM";2
"290540 CAIRU";4
"290550 CALDEIRAO GRANDE";4
"290560 CAMACAN";6
"290570 CAMACARI";56
"290580 CAMAMU";12
"290590 CAMPO ALEGRE DE LOURDES";8
"290600 CAMPO FORMOSO";17
"290610 CANAPOLIS";2
"290620 CANARANA";8
"290630 CANAVIEIRAS";3
"290640 CANDEAL";2
"290650 CANDEIAS";16
"290660 CANDIBA";-
"290670 CANDIDO SALES";3
"290680 CANSANCAO";5
"290682 CANUDOS";6
"290685 CAPELA DO ALTO ALEGRE";1
"290687 CAPIM GROSSO";3
"290689 CARAIBAS";1
"290690 CARAVELAS";2
"290700 CARDEAL DA SILVA";2
"290710 CARINHANHA";10
"290720 CASA NOVA";17
"290730 CASTRO ALVES";7
"290740 CATOLANDIA";-
"290750 CATU";7
"290755 CATURAMA";1
"290760 CENTRAL";3
"290770 CHORROCHO";2
"290780 CICERO DANTAS";7
"290790 CIPO";8
"290800 COARACI";1
"290810 COCOS";5
"290820 CONCEICAO DA FEIRA";4
"290830 CONCEICAO DO ALMEIDA";6
"290840 CONCEICAO DO COITE";8
"290850 CONCEICAO DO JACUIPE";5
"290860 CONDE";3
"290870 CONDEUBA";-
"290880 CONTENDAS DO SINCORA";-
"290890 CORACAO DE MARIA";4
"290900 CORDEIROS";-
"290910 CORIBE";1
"290920 CORONEL JOAO SA";2
"290930 CORRENTINA";5
"290940 COTEGIPE";2
"290950 CRAVOLANDIA";3
"290960 CRISOPOLIS";4
"290970 CRISTOPOLIS";1
"290980 CRUZ DAS ALMAS";12
"290990 CURACA";7
"291000 DARIO MEIRA";-
"291005 DIAS D'AVILA";18
"291010 DOM BASILIO";-
"291020 DOM MACEDO COSTA";-
"291030 ELISIO MEDRADO";-
"291040 ENCRUZILHADA";5
"291050 ENTRE RIOS";8
"291060 ESPLANADA";5
"291070 EUCLIDES DA CUNHA";13
"291072 EUNAPOLIS";30
"291075 FATIMA";4
"291077 FEIRA DA MATA";-
"291080 FEIRA DE SANTANA";123
"291085 FILADELFIA";5
"291090 FIRMINO ALVES";1
"291100 FLORESTA AZUL";1
"291110 FORMOSA DO RIO PRETO";6
"291120 GANDU";8
"291125 GAVIAO";-
"291130 GENTIO DO OURO";-
"291140 GLORIA";3
"291150 GONGOGI";-
"291160 GOVERNADOR MANGABEIRA";5
"291165 GUAJERU";-
"291170 GUANAMBI";11
"291180 GUARATINGA";1
"291185 HELIOPOLIS";2
"291190 IACU";5
"291200 IBIASSUCE";1
"291210 IBICARAI";3
"291220 IBICOARA";5
"291230 IBICUI";3
"291240 IBIPEBA";3
"291250 IBIPITANGA";2
"291260 IBIQUERA";1
"291270 IBIRAPITANGA";5
"291280 IBIRAPUA";1
"291290 IBIRATAIA";4
"291300 IBITIARA";3
"291310 IBITITA";1
"291320 IBOTIRAMA";6
"291330 ICHU";1
"291340 IGAPORA";-
"291345 IGRAPIUNA";2
"291350 IGUAI";2
"291360 ILHEUS";24
"291370 INHAMBUPE";7
"291380 IPECAETA";-
"291390 IPIAU";9
"291400 IPIRA";10
"291410 IPUPIARA";2
"291420 IRAJUBA";1
"291430 IRAMAIA";1
"291440 IRAQUARA";2
"291450 IRARA";4
"291460 IRECE";17
"291465 ITABELA";5
"291470 ITABERABA";8
"291480 ITABUNA";54
"291490 ITACARE";9
"291500 ITAETE";2
"291510 ITAGI";-
"291520 ITAGIBA";2
"291530 ITAGIMIRIM";1
"291535 ITAGUACU DA BAHIA";3
"291540 ITAJU DO COLONIA";-
"291550 ITAJUIPE";4
"291560 ITAMARAJU";15
"291570 ITAMARI";1
"291580 ITAMBE";1
"291590 ITANAGRA";1
"291600 ITANHEM";5
"291610 ITAPARICA";4
"291620 ITAPE";2
"291630 ITAPEBI";1
"291640 ITAPETINGA";17
"291650 ITAPICURU";8
"291660 ITAPITANGA";2
"291670 ITAQUARA";2
"291680 ITARANTIM";2
"291685 ITATIM";1
"291690 ITIRUCU";1
"291700 ITIUBA";11
"291710 ITORORO";3
"291720 ITUACU";4
"291730 ITUBERA";3
"291733 IUIU";2
"291735 JABORANDI";3
"291740 JACARACI";1
"291750 JACOBINA";13
"291760 JAGUAQUARA";6
"291770 JAGUARARI";4
"291780 JAGUARIPE";4
"291790 JANDAIRA";1
"291800 JEQUIE";29
"291810 JEREMOABO";4
"291820 JIQUIRICA";-
"291830 JITAUNA";4
"291835 JOAO DOURADO";7
"291840 JUAZEIRO";54
"291845 JUCURUCU";-
"291850 JUSSARA";5
"291855 JUSSARI";-
"291860 JUSSIAPE";-
"291870 LAFAIETE COUTINHO";-
"291875 LAGOA REAL";1
"291880 LAJE";2
"291890 LAJEDAO";-
"291900 LAJEDINHO";-
"291905 LAJEDO DO TABOCAL";-
"291910 LAMARAO";-
"291915 LAPAO";2
"291920 LAURO DE FREITAS";42
"291930 LENCOIS";6
"291940 LICINIO DE ALMEIDA";2
"291950 LIVRAMENTO DE NOSSA SENHORA";2
"291955 LUIS EDUARDO MAGALHAES";17
"291960 MACAJUBA";2
"291970 MACARANI";-
"291980 MACAUBAS";9
"291990 MACURURE";1
"291992 MADRE DE DEUS";2
"291995 MAETINGA";1
"292000 MAIQUINIQUE";4
"292010 MAIRI";-
"292020 MALHADA";2
"292030 MALHADA DE PEDRAS";1
"292040 MANOEL VITORINO";1
"292045 MANSIDAO";3
"292050 MARACAS";4
"292060 MARAGOGIPE";5
"292070 MARAU";4
"292080 MARCIONILIO SOUZA";2
"292090 MASCOTE";4
"292100 MATA DE SAO JOAO";7
"292105 MATINA";3
"292110 MEDEIROS NETO";3
"292120 MIGUEL CALMON";8
"292130 MILAGRES";3
"292140 MIRANGABA";5
"292145 MIRANTE";2
"292150 MONTE SANTO";13
"292160 MORPARA";1
"292170 MORRO DO CHAPEU";5
"292180 MORTUGABA";1
"292190 MUCUGE";4
"292200 MUCURI";4
"292205 MULUNGU DO MORRO";1
"292210 MUNDO NOVO";1
"292220 MUNIZ FERREIRA";2
"292225 MUQUEM DE SAO FRANCISCO";3
"292230 MURITIBA";3
"292240 MUTUIPE";1
"292250 NAZARE";3
"292260 NILO PECANHA";2
"292265 NORDESTINA";1
"292270 NOVA CANAA";3
"292273 NOVA FATIMA";1
"292275 NOVA IBIA";-
"292280 NOVA ITARANA";-
"292285 NOVA REDENCAO";2
"292290 NOVA SOURE";8
"292300 NOVA VICOSA";6
"292303 NOVO HORIZONTE";2
"292305 NOVO TRIUNFO";-
"292310 OLINDINA";2
"292320 OLIVEIRA DOS BREJINHOS";1
"292330 OURICANGAS";-
"292335 OUROLANDIA";2
"292340 PALMAS DE MONTE ALTO";3
"292350 PALMEIRAS";4
"292360 PARAMIRIM";3
"292370 PARATINGA";12
"292380 PARIPIRANGA";5
"292390 PAU BRASIL";4
"292400 PAULO AFONSO";18
"292405 PE DE SERRA";1
"292410 PEDRAO";-
"292420 PEDRO ALEXANDRE";5
"292430 PIATA";8
"292440 PILAO ARCADO";7
"292450 PINDAI";3
"292460 PINDOBACU";2
"292465 PINTADAS";1
"292467 PIRAI DO NORTE";1
"292470 PIRIPA";-
"292480 PIRITIBA";2
"292490 PLANALTINO";-
"292500 PLANALTO";3
"292510 POCOES";6
"292520 POJUCA";6
"292525 PONTO NOVO";5
"292530 PORTO SEGURO";37
"292540 POTIRAGUA";1
"292550 PRADO";7
"292560 PRESIDENTE DUTRA";2
"292570 PRESIDENTE JANIO QUADROS";5
"292575 PRESIDENTE TANCREDO NEVES";4
"292580 QUEIMADAS";5
"292590 QUIJINGUE";6
"292593 QUIXABEIRA";2
"292595 RAFAEL JAMBEIRO";-
"292600 REMANSO";7
"292610 RETIROLANDIA";2
"292620 RIACHAO DAS NEVES";6
"292630 RIACHAO DO JACUIPE";4
"292640 RIACHO DE SANTANA";1
"292650 RIBEIRA DO AMPARO";2
"292660 RIBEIRA DO POMBAL";14
"292665 RIBEIRAO DO LARGO";1
"292670 RIO DE CONTAS";3
"292680 RIO DO ANTONIO";3
"292690 RIO DO PIRES";3
"292700 RIO REAL";9
"292710 RODELAS";3
"292720 RUY BARBOSA";4
"292730 SALINAS DA MARGARIDA";5
"292740 SALVADOR";466
"292750 SANTA BARBARA";5
"292760 SANTA BRIGIDA";4
"292770 SANTA CRUZ CABRALIA";6
"292780 SANTA CRUZ DA VITORIA";1
"292790 SANTA INES";3
"292800 SANTALUZ";7
"292805 SANTA LUZIA";2
"292810 SANTA MARIA DA VITORIA";10
"292820 SANTANA";3
"292830 SANTANOPOLIS";-
"292840 SANTA RITA DE CASSIA";6
"292850 SANTA TEREZINHA";1
"292860 SANTO AMARO";9
"292870 SANTO ANTONIO DE JESUS";21
"292880 SANTO ESTEVAO";7
"292890 SAO DESIDERIO";7
"292895 SAO DOMINGOS";2
"292900 SAO FELIX";4
"292905 SAO FELIX DO CORIBE";4
"292910 SAO FELIPE";4
"292920 SAO FRANCISCO DO CONDE";8
"292925 SAO GABRIEL";1
"292930 SAO GONCALO DOS CAMPOS";3
"292935 SAO JOSE DA VITORIA";-
"292937 SAO JOSE DO JACUIPE";1
"292940 SAO MIGUEL DAS MATAS";1
"292950 SAO SEBASTIAO DO PASSE";6
"292960 SAPEACU";1
"292970 SATIRO DIAS";5
"292975 SAUBARA";2
"292980 SAUDE";-
"292990 SEABRA";11
"293000 SEBASTIAO LARANJEIRAS";2
"293010 SENHOR DO BONFIM";17
"293015 SERRA DO RAMALHO";6
"293020 SENTO SE";6
"293030 SERRA DOURADA";6
"293040 SERRA PRETA";-
"293050 SERRINHA";14
"293060 SERROLANDIA";2
"293070 SIMOES FILHO";25
