ano,co_uf,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2004,27,65002.0,1883.0,28.96833943570967
2004,28,37264.0,1095.0,29.38492915414341
2004,29,257068.0,8042.0,31.283551433861856
2004,31,295010.0,6134.0,20.79251550794888
2004,32,55467.0,808.0,14.567220148917373
2004,33,231432.0,4004.0,17.300978257112238
2004,35,629973.0,9002.0,14.289501296087293
2004,41,157961.0,2471.0,15.643101778287045
2004,42,87239.0,1185.0,13.58337440823485
2004,43,154681.0,2291.0,14.811127417071264
2004,50,42136.0,906.0,21.50180368331118
2004,51,55828.0,1451.0,25.990542380167657
2004,52,96468.0,2112.0,21.89327030725215
2004,53,45797.0,648.0,14.149398432211717
2005,11,30210.0,731.0,24.197285666997683
2005,12,19679.0,541.0,27.49123431068652
2005,13,81795.0,2147.0,26.24854819976771
2005,14,10908.0,218.0,19.985331866519985
2005,15,168578.0,4419.0,26.2133849019445
2005,16,15758.0,374.0,23.73397639294327
2005,17,28876.0,814.0,28.18949993073833
2005,21,153384.0,5125.0,33.41287226829395
2005,22,60413.0,1712.0,28.338271564067337
2005,23,149666.0,3607.0,24.10033006828538
2005,24,56515.0,1503.0,26.59470936919402
2005,25,68889.0,1840.0,26.709634339299452
2005,26,161062.0,4062.0,25.220101575790686
2005,27,66162.0,1990.0,30.07768809890874
2005,28,38480.0,1120.0,29.10602910602911
2005,29,251363.0,7274.0,28.93822877670938
2005,31,293542.0,6000.0,20.440005178134648
2005,32,54736.0,812.0,14.834843612978661
2005,33,224579.0,3583.0,15.95429670628153
2005,35,622698.0,8353.0,13.414207207988463
2005,41,159498.0,2327.0,14.589524633537724
2005,42,87129.0,1108.0,12.716776274260006
2005,43,149358.0,1995.0,13.357168681958784
2005,50,42166.0,796.0,18.877768818479343
2005,51,57787.0,1433.0,24.797964940211468
2005,52,97325.0,1930.0,19.83046493706653
2005,53,46121.0,605.0,13.117668740920623
2006,11,28797.0,682.0,23.683022537069835
2006,12,19041.0,420.0,22.057665038600916
2006,13,82067.0,2055.0,25.040515676215772
2006,14,10743.0,238.0,22.153960718607465
2006,15,168414.0,4327.0,25.69263837923213
2006,16,16501.0,447.0,27.089267317132297
2006,17,28562.0,717.0,25.10328408374764
2006,21,148468.0,3942.0,26.55117601099227
2006,22,60054.0,1537.0,25.59363239750891
2006,23,145333.0,3237.0,22.27298686464877
2006,24,53771.0,1127.0,20.95925312901006
2006,25,65873.0,1538.0,23.347957433242758
2006,26,155414.0,3343.0,21.510288648384314
2006,27,63028.0,1575.0,24.98889382496668
2006,28,38148.0,992.0,26.00398448149313
2006,29,240010.0,6507.0,27.11137035956835
2006,31,281329.0,5386.0,19.144844648081072
2006,32,53173.0,777.0,14.61267936734809
2006,33,219891.0,3313.0,15.066555702598105
2006,35,607852.0,7969.0,13.110099168876635
2006,41,155973.0,2110.0,13.527982407211505
2006,42,85401.0,1071.0,12.540836758351775
2006,43,142644.0,1805.0,12.653879588345811
2006,50,40651.0,761.0,18.720326683230425
2006,51,55091.0,1082.0,19.64023161677951
2006,52,94309.0,1723.0,18.269730354473065
2006,53,45353.0,554.0,12.215288955526647
2007,11,28091.0,569.0,20.255597878324018
2007,12,18756.0,478.0,25.4851780763489
2007,13,82469.0,1754.0,21.268597897391746
2007,14,10679.0,197.0,18.447420170427943
2007,15,164269.0,3762.0,22.901460409450355
2007,16,15577.0,416.0,26.70604095782243
2007,17,26688.0,624.0,23.38129496402878
2007,21,143158.0,3588.0,25.063216865281717
2007,22,57252.0,1418.0,24.767693705023405
2007,23,142591.0,2816.0,19.748791999495058
2007,24,51526.0,1101.0,21.36785312269534
2007,25,62951.0,1471.0,23.367380978856573
2007,26,151569.0,3075.0,20.287789719533677
2007,27,61521.0,1536.0,24.967084410201394
2007,28,36593.0,760.0,20.76899953543027
2007,29,237030.0,5890.0,24.849175209889044
2007,31,271548.0,4736.0,17.440747123897065
2007,32,52357.0,727.0,13.8854403422656
2007,33,218319.0,3235.0,14.817766662544258
2007,35,598509.0,7751.0,12.950515364012906
2007,41,148870.0,1911.0,12.836703163834219
2007,42,82656.0,1019.0,12.328203639179248
2007,43,134221.0,1629.0,12.136699920280732
2007,50,38594.0,724.0,18.759392651707522
2007,51,52331.0,959.0,18.325657831877855
2007,52,91020.0,1534.0,16.853438804658317
2007,53,44293.0,516.0,11.649696340279501
2008,11,27603.0,551.0,19.961598376988007
2008,12,19015.0,406.0,21.351564554299237
2008,13,83142.0,1744.0,20.976161266267347
2008,14,11202.0,227.0,20.264238528834138
2008,15,164047.0,3598.0,21.932738788274094
2008,16,16863.0,459.0,27.219355986479275
2008,17,27211.0,573.0,21.057660504942852
2008,21,139582.0,3137.0,22.474244530097007
2008,22,56149.0,1254.0,22.333434255285045
2008,23,140560.0,2585.0,18.39072282299374
2008,24,52793.0,1048.0,19.851116625310173
2008,25,63013.0,1331.0,21.122625489978258
2008,26,152643.0,2821.0,18.481030902170424
2008,27,62116.0,1331.0,21.427651490759224
2008,28,37238.0,783.0,21.026907997207154
2008,29,234237.0,5234.0,22.344890004568022
2008,31,270840.0,4550.0,16.799586471717618
2008,32,53926.0,761.0,14.111931164929718
2008,33,217280.0,3131.0,14.40997790868925
2008,35,605828.0,7629.0,12.592683071762943
2008,41,152738.0,2018.0,13.212167240634288
2008,42,85146.0,1046.0,12.28478143424236
2008,43,136467.0,1718.0,12.58912411059084
2008,50,42103.0,730.0,17.338431940716816
2008,51,53514.0,1011.0,18.89225249467429
2008,52,92605.0,1521.0,16.4245991037201
2008,53,44369.0,513.0,11.562126710090379
2009,11,29207.0,593.0,20.303351936179684
2009,12,17746.0,395.0,22.258537135129043
2009,13,83237.0,1714.0,20.59180412556916
2009,14,10671.0,180.0,16.86814731515322
2009,15,156243.0,3258.0,20.85213417561107
2009,16,16531.0,392.0,23.713024015486056
2009,17,26299.0,524.0,19.924711966234458
