co_regiao_pais,regiao_pais,co_uf,sg_uf,co_macrorregiao_saude,macrorregiao_de_saude,co_regiao_saude,regiao_de_saude,co_municipio,no_municipio,populacao_ibge_2022,nome_da_regiao,sigla_da_regiao,identificacao_da_faixa_populacional,ano_de_referencia,nome_do_orgao_responsavel_pela_gestao,sigla_do_orgao_responsavel_pela_gestao,abrangencia,natureza_juridica_do_orgao_municipal_responsavel,tipo_de_servico,taxa_de_empregados_por_habitante_urbano,despesa_por_empregado,incidencia_de_despesas_com_rsu_na_prefeitura,incidencia_de_despesas_com_empresas_contratadas,auto_suficiencia_financeira,despesas_per_capita_com_rsu,incidencia_de_empregados_proprios,incidencia_de_empreg_de_empr_contrat_no_total_de_empreg_no_manejo,incidencia_de_empreg_admin_no_total_de_empreg_no_manejo,receita_arrecadada_per_capita_com_servicos_de_manejo,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_total,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_urbana,tx_cobertura_de_coleta_direta_rdo_relativo_a_pop_urbana,taxa_de_terceirizacao_da_coleta,produtividades_media_de_coletadores_e_motorista,taxa_de_motoristas_e_coletadores_por_habitante_urbano,massa_rdo_rpu_coletada_per_capita_em_relacao_a_pop_urbana,massa_rdo_coletada_per_capita_em_relacao_a_pop_total_atendida,custo_unitario_da_coleta,incidencia_do_custo_da_coleta_no_custo_total_do_manejo,incidencia_de_emprega_da_coleta_no_total_de_empregados_no_manejo,relacao_quantidade_rcd_coletada_pela_pref_p_quant_total_rdo_rpu,relacao_quantidades_coletadas_de_rpu_por_rdo,massa_rdo_rpu_coletada_per_capita_em_relacao_a_populacao_total_atendida,massa_de_rcd_per_capita_ano_em_relacao_a_pop_urbana,taxa_de_cobertura_da_col_seletiva_porta_a_porta_em_relacao_a_pop_urbana,taxa_de_recuperacao_de_reciclaveis_em_relacao_a_quantidade_de_rdo_e_rpu,massa_recuperada_per_capita,relacao_entre_quantidades_da_coleta_seletiva_e_rdo,incid_de_papel_papelao_sobre_total_mat_recuperado,incid_de_plasticos_sobre_total_material_recuperado,incid_de_metais_sobre_total_material_recuperado,incid_de_vidros_sobre_total_de_material_recuperado,incidencia_de_outros_sobre_total_material_recuperado,massa_per_capita_recolhida_via_coleta_seletiva,massa_de_rss_coletada_per_capita,taxa_de_rss_sobre_rdo_rpu,taxa_de_terceirizacao_de_varredores,taxa_de_terceirizacao_de_varricao,custo_unitario_da_varricao,produtividade_media_do_varredores,taxa_de_varredores_por_habitante_urbano,incidencia_do_custo_da_varricao_no_custo_total_do_manejo,incidencia_de_varredores_no_total_de_empregados_no_manejo,extensao_total_anual_varrida_per_capita,taxa_de_capinadores_por_habitante_urbano,relacao_de_capinadores_no_total_de_empregados_no_manejo
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291510,BA - ITAGI,13803,Nordeste,NE,1,2022,SECRETARIA MUNICPAL DE INFRAESTRUTURA,INFRA,Local,Administração pública direta,Res. Sólidos ,,20202.02,5.88,,,,100.0,0.0,,,79.55,,,0.0,,,,0.55,,,,37.5,45.45,0.8,,,,,,,,,,,,,2.81,,,,,,,,,,
2,Nordeste,29,BA,2918,CENTRO - NORTE (NRS - JACOBINA),29010,IRECE,291535,BA - ITAGUACU DA BAHIA,12311,Nordeste,NE,1,2022,Prefeitura Municipal de Itaguaçu da    Bahia,PMIB,Local,Administração pública direta,Res. Sólidos ,,193500.0,1.9,100.0,,,0.0,100.0,,,74.58,,,90.91,,,,,454.55,86.13,,,,0.66,,,,,,,,,,,,,0.18,,,,,,8.61,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29012,ITABUNA,291540,BA - ITAJU DO COLONIA,6037,Nordeste,NE,1,2022,Prefeitura Municipal de Itaju do Colônia,PMIC,Local,Administração pública direta,Res. Sólidos ,,12299.18,0.95,66.32,,,20.69,79.31,,,99.93,,,0.0,,,,,,,,0.04,,1.07,,,,,,,,,,,,,0.04,,,,,,,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29012,ITABUNA,291550,BA - ITAJUIPE,18781,Nordeste,NE,1,2022,Secretaria de Desenvolvimento Urbano,SEDUR,Local,Administração pública direta,Res. Sólidos ,,48272.73,9.05,84.75,,,24.24,75.76,0.0,,26.62,,,100.0,18.61,,,,,,34.85,21.01,,0.13,,,21.01,,,20.0,20.0,30.0,10.0,20.0,,,2.1,65.12,,,,,,65.15,,,0.0
2,Nordeste,29,BA,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29026,TEIXEIRA DE FREITAS,291560,BA - ITAMARAJU,59605,Nordeste,NE,2,2022,Prefeitura Municipal,PMI,Local,Administração pública direta,Res. Sólidos ,,22497.55,3.51,0.0,,,59.26,40.74,,,100.0,,,0.0,,,,,117.47,70.59,,,,2.01,,,,,,,,,,,,,0.16,,,,,,28.98,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291570,BA - ITAMARI,7051,Nordeste,NE,1,2022,Prefeitura Municipal de Itamari,PMI,Local,Administração pública direta,Res. Sólidos ,,65811.54,3.35,,,,73.08,26.92,7.69,,73.88,,,87.43,2862.62,,,1.24,,,11.54,21.58,14.38,1.41,,,,,,,,,,,,,,0.0,,,,,,53.85,,,15.38
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,291580,BA - ITAMBE,24394,Nordeste,NE,1,2022,Prefeitura Municipal de Itambé,PMI,Local,Administração pública direta,Res. Sólidos ,,53848.4,0.83,1.65,,,100.0,0.0,5.0,,97.47,,,0.0,4162.14,,,,103.63,50.14,20.0,,,0.6,,,4.49,,,51.28,34.19,14.53,0.0,0.0,,,0.0,0.0,,,,,37.06,60.0,,,10.0
2,Nordeste,29,BA,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29026,TEIXEIRA DE FREITAS,291600,BA - ITANHEM,17813,Nordeste,NE,1,2022,Prefeitura Municipal de Itanhém,PMI,Local,Administração pública direta,Res. Sólidos ,,8491.1,0.36,0.0,,,100.0,0.0,6.9,,78.59,,,0.0,2555.91,,,,27.12,26.44,10.34,41.67,,0.47,,,,,,,,,,,,,0.5,0.0,,16.11,1.6,,65.44,68.97,,,13.79
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29020,SALVADOR,291610,BA - ITAPARICA,19789,Nordeste,NE,1,2022,"SECRETARIA DE INFRAESTRUTURA, HABITAÇÃO E DEFESA CIVIL",SEINFRA,Local,Administração pública direta,Res. Sólidos ,,138297.87,8.47,100.0,7.36,,0.0,100.0,4.26,,99.74,,,100.0,1840.26,,,,462.96,61.54,31.91,6.94,,1.2,,,,,,,,,,,,,0.69,100.0,,,,,30.77,46.81,,,17.02
2,Nordeste,29,BA,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29018,PORTO SEGURO,291630,BA - ITAPEBI,9174,Nordeste,NE,1,2022,Prefeitura Municipal de Itapebi,PMI,Local,Administração pública direta,Res. Sólidos ,,,3.67,,,,,,,,93.74,,,100.0,335.46,,,,,,31.37,59.52,,0.54,,,,,,,,,,,,,,50.0,,,,,,31.37,,,31.37
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,291640,BA - ITAPETINGA,65897,Nordeste,NE,2,2022,Prefeitura Municipal de Itapetinga,PMI,Local,Administração pública direta,Res. Sólidos ,,35528.41,3.58,41.49,,,84.62,15.38,2.14,,97.07,,,91.8,1648.78,,,0.65,164.4,37.61,14.1,72.63,24.48,0.81,,,4.26,,13.02,67.05,12.72,6.78,0.0,13.46,,,0.49,0.0,,107.44,0.79,,54.28,72.65,,,8.55
2,Nordeste,29,BA,2914,NORDESTE (NRS - ALAGOINHAS),29001,ALAGOINHAS,291650,BA - ITAPICURU,31679,Nordeste,NE,2,2022,PREFEITURA MUNICIPAL DE ITAPICURU,PMI,Local,Administração pública direta,Res. Sólidos ,,62848.92,1.44,71.31,2.99,,88.24,11.76,,,19.52,,,3.85,,,,0.51,351.39,37.3,,,100.0,1.01,,,,,,,,,,,,,,,,,,,15.16,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29012,ITABUNA,291660,BA - ITAPITANGA,10279,Nordeste,NE,1,2022,Prefeitura Municipal de Itapitanga,PMI,Local,Administração pública direta,Res. Sólidos ,,24181.63,1.49,1.79,,,100.0,0.0,10.0,,90.67,,,0.0,1246.01,,,0.61,63.74,20.56,20.0,3.42,12.5,0.69,,,3.42,,,50.0,12.5,18.75,18.75,0.0,,,0.09,0.0,,240.0,0.5,,77.65,50.0,,,20.0
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,291680,BA - ITARANTIM,17052,Nordeste,NE,1,2022,Prefeitura Municipal de Itarantim,PMI,Local,Administração pública direta,Res. Sólidos ,,40058.61,1.82,1.43,,,100.0,0.0,3.23,,71.84,,,0.0,920.13,,,,228.58,53.01,32.26,,,0.64,,,,,,,,,,,,,,0.0,,,,,40.2,51.61,,,6.45
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29022,SANTO ANTONIO DE JESUS,291685,BA - ITATIM,15737,Nordeste,NE,1,2022,Prefeitura Municipal de Itatim,PMI,Local,Administração pública direta,Res. Sólidos ,,52047.45,5.72,88.46,,,26.79,73.21,12.5,,67.15,,,96.82,1673.06,,,,160.31,17.28,10.71,70.02,,0.81,,,15.31,,,75.88,9.15,9.98,4.78,0.21,,,0.16,100.0,100.0,213.78,,,63.44,30.36,,,26.79
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291690,BA - ITIRUCU,10999,Nordeste,NE,1,2022,Prefeitura Municipal de Itiruçu,PMI,Local,Administração pública direta,Res. Sólidos ,,7763.78,0.69,0.0,,,100.0,0.0,,,91.06,,,20.0,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,
2,Nordeste,29,BA,2913,NORTE - (NRS - JUAZEIRO),29024,SENHOR DO BONFIM,291700,BA - ITIUBA,33872,Nordeste,NE,2,2022,PREFEITURA MUNICIPAL DE ITIUBA,PMI,Local,Administração pública direta,Res. Sólidos ,,30446.78,3.05,68.29,,,31.11,68.89,4.44,,74.64,,,100.0,2614.0,,,,54.8,34.66,8.15,0.58,,2.82,,,38.3,,,92.38,4.6,3.01,0.01,0.0,,,0.02,66.67,84.54,175.6,0.41,,41.44,55.56,,,4.44
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,291710,BA - ITORORO,16617,Nordeste,NE,1,2022,Prefeitura Municipal,PMI,Local,Administração pública direta,Res. Sólidos ,,,11.87,0.53,,,,,,,96.97,,,0.0,1199.04,,,,,,12.4,,,0.96,,,1.68,,,,,,,,,,0.12,0.0,,,,,,78.51,,,3.31
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29027,VALENCA,291730,BA - ITUBERA,21902,Nordeste,NE,1,2022,Prefeitura Municipal de Ituberá,PMI,Local,Administração pública direta,Res. Sólidos ,,70768.81,4.01,,,,6.25,93.75,6.25,,91.32,,,100.0,1875.26,,,,,,47.92,22.22,,1.85,,,,,,,,,,,,,1.19,100.0,,,0.0,,,20.83,,,25.0
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29007,GUANAMBI,291740,BA - JACARACI,14436,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE JACARACI,PMJ,Local,Administração pública direta,Res. Sólidos ,,25217.63,2.82,4.57,,,100.0,0.0,,,36.53,,,0.0,,,,,,,,71.79,,2.03,,,,,,,,,,,,,,,,,,,,,,,
2,Nordeste,29,BA,2918,CENTRO - NORTE (NRS - JACOBINA),29014,JACOBINA,291750,BA - JACOBINA,82590,Nordeste,NE,2,2022,Limpeza Pública de Jacobina,LIMPUJA,Local,Administração pública direta,Res. Sólidos ,,76585.32,6.17,92.13,,,1.4,98.6,2.79,,90.28,,,100.0,3580.73,,,0.92,247.85,65.79,18.14,42.96,75.12,1.61,,,3.08,,,58.13,31.7,4.23,5.35,0.59,,,0.03,100.0,,,,,29.64,39.53,,,23.72
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291760,BA - JAGUAQUARA,45964,Nordeste,NE,2,2022,SECRETARIA DE INFRAESTRUTURA,SEINFRA,Local,Administração pública direta,Res. Sólidos ,,28192.04,1.89,15.25,,,100.0,0.0,9.0,,87.02,,,6.82,545.79,,,,134.34,19.54,24.0,12.5,,0.3,,,1.64,,,41.67,23.61,11.11,20.83,2.78,,,,0.0,,,,,56.19,40.0,,,4.0
2,Nordeste,29,BA,2913,NORTE - (NRS - JUAZEIRO),29024,SENHOR DO BONFIM,291770,BA - JAGUARARI,32703,Nordeste,NE,2,2022,Prefeitura Municipal de Jaguarari,PMJ,Local,Administração pública direta,Res. Sólidos ,,28871.01,3.2,85.32,,,17.79,82.21,7.36,,79.24,,,100.0,520.6,,,0.64,216.9,28.8,22.7,133.08,2.97,0.66,,,2.93,,3.62,33.11,51.31,15.57,0.0,0.0,,,0.17,76.47,,76.14,1.54,,53.0,41.72,,,28.22
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29022,SANTO ANTONIO DE JESUS,291780,BA - JAGUARIPE,17659,Nordeste,NE,1,2022,Prefeitura Municipal de Jaguaripe,PMJ,Local,Administração pública direta,Res. Sólidos ,,41867.65,6.02,71.35,,,28.45,71.55,11.21,,56.63,,,100.0,422.28,,,,528.0,33.05,19.83,4.93,,0.83,,,,,,,,,,,,,0.2,85.37,,,,,43.38,35.34,,,31.03
2,Nordeste,29,BA,2914,NORDESTE (NRS - ALAGOINHAS),29001,ALAGOINHAS,291790,BA - JANDAIRA,9285,Nordeste,NE,1,2022,Secretaria de Obras,PMJ,Local,Administração pública direta,Res. Sólidos ,,,4.3,36.86,,,,,,,93.16,,,46.29,784.24,,,1.3,236.15,48.2,30.99,1.85,31.71,1.71,,,,,,,,,,,,,0.01,28.57,45.45,247.81,0.5,,51.51,49.3,,,14.08
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291800,BA - JEQUIE,158813,Nordeste,NE,3,2022,SECRETARIA DE SERVIÇOS PUBLICOS,SESP,Local,Administração pública direta,Res. Sólidos ,,92745.22,3.18,100.0,0.59,,0.0,100.0,,,93.56,,,100.0,,,,,153.99,40.63,,,,0.9,,,13.53,,,68.15,26.71,5.13,0.0,0.0,,,,,100.0,111.98,,,24.63,,,,
2,Nordeste,29,BA,2913,NORTE - (NRS - JUAZEIRO),29017,PAULO AFONSO,291810,BA - JEREMOABO,37626,Nordeste,NE,2,2022,SECRETARIA DO MEIO AMBIENTE E SUSTENTABILIDADE,SEMMAS,Local,Administração pública direta,Res. Sólidos ,,45583.57,4.72,,,,28.12,71.87,,,82.39,,,96.3,,,,,,,,14.81,,1.19,,,,,,,,,,,,,0.04,,,,,,,,,,
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29022,SANTO ANTONIO DE JESUS,291820,BA - JIQUIRICA,13629,Nordeste,NE,1,2022,Prefeitura Municipal de Jiquiriçá,PMJ,Local,Administração pública direta,Res. Sólidos ,,37189.19,2.31,46.58,,,89.19,10.81,2.7,,52.09,,,0.0,1717.25,,,0.6,302.33,47.24,10.81,3.26,38.71,0.83,,,,,,,,,,,,,,0.0,,,,,41.42,70.27,,,5.41
2,Nordeste,29,BA,2918,CENTRO - NORTE (NRS - JACOBINA),29010,IRECE,291835,BA - JOAO DOURADO,24854,Nordeste,NE,1,2022,Prefeitura Municipal de João Dourado,PMJD,Local,Administração pública direta,Res. Sólidos ,,11953.43,1.06,,,,90.12,9.88,4.94,,99.29,,,97.1,2188.5,,,,,,9.88,,,0.69,,,11.61,,,,,,,,,,0.26,0.0,,,,,,79.01,,,6.17
2,Nordeste,29,BA,2913,NORTE - (NRS - JUAZEIRO),29016,JUAZEIRO,291840,BA - JUAZEIRO,237821,Nordeste,NE,3,2022,Serviço de Água e Saneamento Ambiental,SAAE,Local,Autarquia,Res. Sólidos ,,54573.78,1.76,100.0,69.46,,6.23,93.77,16.07,,93.77,,,100.0,3670.15,,,0.74,137.26,65.36,22.62,24.24,31.99,0.97,,,0.4,,,81.07,8.2,8.83,0.95,0.95,,,0.01,77.59,100.0,245.25,,,25.81,19.02,,,0.0
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29012,ITABUNA,291855,BA - JUSSARI,5888,Nordeste,NE,1,2022,PREFEITURA DE JUSSARI,PMJ,Local,Administração pública direta,Res. Sólidos ,,51144.42,5.03,5.52,,,94.12,5.88,,,86.29,,,0.0,,,,,217.18,18.43,,59.98,,0.8,,,,,,,,,,,,,0.04,,,,,,69.12,,,,
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29003,BRUMADO,291860,BA - JUSSIAPE,7379,Nordeste,NE,1,2022,Secretaria Municipal de Administração,SMA,Local,Administração pública direta,Res. Sólidos ,,35391.91,1.19,14.84,,,100.0,0.0,,,53.39,,,0.0,,,,0.87,55.02,27.05,,28.16,39.2,1.21,,,,,,,,,,,,,,,,,,,58.11,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291870,BA - LAFAIETE COUTINHO,4075,Nordeste,NE,1,2022,Prefeitura Municipal de Lafaiete Coutinho,PMLC,Local,Administração pública direta,Res. Sólidos ,,21924.11,1.59,,,,94.74,5.26,0.0,,53.52,,,0.0,350.16,,,,,,26.32,1.64,,0.69,,,,,,,,,,,,,0.55,0.0,,,,,,52.63,,,21.05
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29007,GUANAMBI,291875,BA - LAGOA REAL,14105,Nordeste,NE,1,2022,Prefeitura municipal de  Lagoa Real,PMLR,Local,Administração pública direta,Res. Sólidos ,,31363.83,1.83,27.45,,,100.0,0.0,,,31.9,,,0.0,,,,,,,,100.0,,0.18,,,,,,,,,,,,,,,,,,,,,,,
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29022,SANTO ANTONIO DE JESUS,291880,BA - LAJE,21052,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE LAJE,PML,Local,Administração pública direta,Res. Sólidos ,,,1.72,100.0,,,,,,,57.51,,,100.0,1863.68,,,,42.86,16.17,15.79,17.14,,1.58,,,,,,,,,,,,,,100.0,,,,,82.9,61.84,,,21.05
2,Nordeste,29,BA,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29026,TEIXEIRA DE FREITAS,291890,BA - LAJEDAO,3845,Nordeste,NE,1,2022,Prefeitura Municipal de Lajedão,PML,Local,Administração pública direta,Res. Sólidos ,,,3.07,100.0,,,,,,,100.0,,,100.0,662.94,,,0.53,421.87,39.96,25.0,,11.41,0.59,,,,,,,,,,,,,,100.0,,,,,53.04,31.25,,,12.5
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29011,ITABERABA,291900,BA - LAJEDINHO,3527,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE LAJEDINHO,PML,Local,Administração pública direta,Res. Sólidos ,,61712.16,3.35,100.0,,,0.0,100.0,6.67,,36.8,,,100.0,638.98,,,,207.32,13.44,20.0,3.33,,1.27,,,,,,,,,,,,,,100.0,,,,,49.01,40.0,,,26.67
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291905,BA - LAJEDO DO TABOCAL,7494,Nordeste,NE,1,2022,SECRETARIA MUNICIPAL DE INFRAESTRUTURA,SEMINF,Local,Administração pública direta,Res. Sólidos ,,12538.46,1.88,,,,0.0,100.0,,,65.25,,,100.0,,,,,,,,,,1.08,,,0.42,,,25.0,12.5,25.0,25.0,12.5,,,0.01,,,,,,,,,,
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29025,SERRINHA,291910,BA - LAMARAO,9015,Nordeste,NE,1,2022,Prefeitura Municipal de Lamarão,PML,Local,Administração pública direta,Res. Sólidos ,,95680.8,1.29,0.0,,,100.0,0.0,0.0,,60.14,,,1.05,2268.37,,,0.22,131.21,38.95,40.0,,229.89,0.73,,,,,,,,,,,,,,0.0,,,,,58.42,60.0,,,0.0
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29020,SALVADOR,291920,BA - LAURO DE FREITAS,203331,Nordeste,NE,3,2022,Secretaria de Serviços Públicos,SESP,Local,Administração pública direta,Res. Sólidos ,,44796.54,3.6,68.58,25.06,,60.06,39.94,10.62,,97.99,,,100.0,2762.99,,,,129.58,38.85,15.53,77.22,,1.17,,,1.03,,,60.57,30.86,5.71,0.0,2.86,,,0.07,0.0,,,,,31.42,36.13,,,18.07
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29023,SEABRA,291930,BA - LENCOIS,10774,Nordeste,NE,1,2022,SECRETARIA DE OBRAS,SEOB,Local,Administração pública direta,Res. Sólidos ,,45574.2,5.81,100.0,,,0.0,100.0,7.69,,98.0,,,100.0,2034.08,,,1.42,134.89,43.49,23.08,0.37,73.95,2.48,,,,,,,,,,,,,0.05,100.0,,,,,23.38,46.15,,,23.08
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29007,GUANAMBI,291940,BA - LICINIO DE ALMEIDA,11834,Nordeste,NE,1,2022,Prefeitura Municipal de Licínio de Almeida,PMLA,Local,Administração pública direta,Res. Sólidos ,,,0.56,93.7,,,,,,,49.01,,,25.4,242.81,,,,137.22,15.75,16.13,157.05,,0.24,,,12.7,,,29.06,10.51,31.68,0.0,28.75,,,0.47,100.0,,,,,84.03,64.52,,,12.9
2,Nordeste,29,BA,2912,OESTE (NBS - BARREIRAS),29002,BARREIRAS,291955,BA - LUIS EDUARDO MAGALHAES,107909,Nordeste,NE,3,2022,PREFEITURA MUNICIPAL,PMLEM,Local,Administração pública direta,Res. Sólidos ,,187267.24,4.81,,3.3,,0.0,100.0,,,96.69,,,100.0,,,,0.86,,,,,58.2,1.36,,,1.01,,2.45,,,,,,,,,,100.0,,,,,,,,
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,291970,BA - MACARANI,21599,Nordeste,NE,1,2022,Prefeitura Municipal de Macarani,PMM,Local,Administração pública direta,Res. Sólidos ,,35873.19,1.35,1.84,,,100.0,0.0,3.7,,89.82,,,0.0,1630.1,,,,77.66,36.82,33.33,,,0.65,,,3.05,,,64.29,32.14,3.57,0.0,0.0,,,0.0,0.0,,,,,51.54,62.96,,,0.0
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29003,BRUMADO,291980,BA - MACAUBAS,41859,Nordeste,NE,2,2022,Prefeitura Municipal de Macaúbas,PMM,Local,Administração pública direta,Res. Sólidos ,,45972.31,2.7,86.19,,,28.89,71.11,5.56,,52.98,,,100.0,788.07,,,,,,16.67,111.82,,0.48,,,3.74,,,54.17,38.89,6.94,0.0,0.0,,,0.82,100.0,100.0,,1.48,,,44.44,,,33.33
2,Nordeste,29,BA,2913,NORTE - (NRS - JUAZEIRO),29017,PAULO AFONSO,291990,BA - MACURURE,7256,Nordeste,NE,1,2022,Secretaria de Infraestrutura,SEINFRA,Local,Administração pública direta,Res. Sólidos ,,28947.37,1.43,47.55,,,57.89,42.11,5.26,,28.5,,,51.77,898.96,,,,210.13,86.0,42.11,2.48,,2.99,,,,,,,,,,,,,,25.0,,,,,10.0,42.11,,,10.53
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29028,VITORIA DA CONQUISTA,291995,BA - MAETINGA,6973,Nordeste,NE,1,2022,Prefeitura Municipal de Maetinga,PMM,Local,Administração pública direta,Res. Sólidos ,,17152.5,1.22,,,,100.0,0.0,12.5,,43.02,,,50.0,1277.96,,,,,,18.75,,,1.1,,,,,,,,,,,,,,0.0,,,,,,43.75,,,12.5
2,Nordeste,29,BA,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29013,ITAPETINGA,292000,BA - MAIQUINIQUE,8731,Nordeste,NE,1,2022,Prefeitura Municipal de Maiquinique,PMM,Local,Administração pública direta,Res. Sólidos ,,,8.28,0.0,,,,,,,93.92,,,0.0,,,,,466.81,95.45,,51.85,,2.26,,,0.74,,,,,,,,,,0.67,,,,,,0.0,,,,
2,Nordeste,29,BA,2918,CENTRO - NORTE (NRS - JACOBINA),29014,JACOBINA,292010,BA - MAIRI,17674,Nordeste,NE,1,2022,SECRETARIA DE INFRAESTRUTURA,SINFRA,Local,Administração pública direta,Res. Sólidos ,,2307.69,0.4,,,,18.27,81.73,4.81,,62.24,,,100.0,419.9,,,,,,6.73,,,0.23,,,,,,,,,,,,,0.22,86.21,100.0,,0.36,,,55.77,,,11.54
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,292040,BA - MANOEL VITORINO,13860,Nordeste,NE,1,2022,Prefeitura Municipal de Manoel Vitorino,PMMV,Local,Administração pública direta,Res. Sólidos ,,25689.66,1.43,50.34,,,51.72,48.28,6.9,,86.58,,,100.0,4233.23,,,0.48,19.81,14.09,13.79,,152.38,1.21,,,,,,,,,,,,,0.11,30.0,,,,,84.56,68.97,,,6.9
2,Nordeste,29,BA,2912,OESTE (NBS - BARREIRAS),29002,BARREIRAS,292045,BA - MANSIDAO,13919,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE MANSIDÃO,PMM,Local,Administração pública direta,Res. Sólidos ,,,3.66,100.0,,,,,,,42.96,,,100.0,2754.79,,,0.39,197.58,38.1,6.06,,306.24,1.58,,,,,,,,,,,,,0.01,100.0,,,,,60.99,75.76,,,15.15
2,Nordeste,29,BA,2915,LESTE - (NRS - SALVADOR),29005,CRUZ DAS ALMAS,292060,BA - MARAGOGIPE,35859,Nordeste,NE,2,2022,Prefeitura Municipal de Maragogipe,PMM,Local,Administração pública direta,Res. Sólidos ,,,4.41,15.87,,,,,,,85.65,,,0.0,2137.31,,,0.54,130.78,11.32,3.38,27.95,0.0,0.54,,,,,,,,,,,,,,0.0,,,,,82.16,90.98,,,4.51
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29012,ITABUNA,292070,BA - MARAU,24527,Nordeste,NE,1,2022,secretaria municipal de infra estrutura,seinfra,Local,Administração pública direta,Res. Sólidos ,,36964.29,5.45,51.69,,,69.64,30.36,7.14,,55.65,,,0.27,439.3,,,,354.55,37.68,28.57,,,0.44,,,,,,,,,,,,,0.73,0.0,,,,,44.44,46.43,,,17.86
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29011,ITABERABA,292080,BA - MARCIONILIO SOUZA,9267,Nordeste,NE,1,2022,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO,PMMS,Local,Administração pública direta,Res. Sólidos ,,35286.88,4.38,100.0,,,0.0,100.0,3.39,,48.56,,,100.0,218.65,,,,471.49,49.6,54.24,244.29,,1.33,,,,,,,,,,,,,0.1,100.0,100.0,200.64,0.16,,4.82,16.95,,,10.17
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29009,ILHEUS,292090,BA - MASCOTE,13544,Nordeste,NE,1,2022,Prefeitura Municipal de Mascote,PMM,Local,Administração pública direta,Res. Sólidos ,,,3.6,2.36,,,,,,,70.44,,,0.89,1408.55,,,0.71,124.28,21.52,9.64,7.65,42.42,1.01,,,,,,,,,,,,,0.85,0.0,,,,,59.34,49.4,,,8.43
