co_regiao_pais,regiao_pais,co_uf,sg_uf,co_macrorregiao_saude,macrorregiao_de_saude,co_regiao_saude,regiao_de_saude,co_municipio,no_municipio,populacao_ibge_2022,nome_da_regiao,sigla_da_regiao,identificacao_da_faixa_populacional,ano_de_referencia,nome_do_orgao_responsavel_pela_gestao,sigla_do_orgao_responsavel_pela_gestao,abrangencia,natureza_juridica_do_orgao_municipal_responsavel,tipo_de_servico,taxa_de_empregados_por_habitante_urbano,despesa_por_empregado,incidencia_de_despesas_com_rsu_na_prefeitura,incidencia_de_despesas_com_empresas_contratadas,auto_suficiencia_financeira,despesas_per_capita_com_rsu,incidencia_de_empregados_proprios,incidencia_de_empreg_de_empr_contrat_no_total_de_empreg_no_manejo,incidencia_de_empreg_admin_no_total_de_empreg_no_manejo,receita_arrecadada_per_capita_com_servicos_de_manejo,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_total,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_urbana,tx_cobertura_de_coleta_direta_rdo_relativo_a_pop_urbana,taxa_de_terceirizacao_da_coleta,produtividades_media_de_coletadores_e_motorista,taxa_de_motoristas_e_coletadores_por_habitante_urbano,massa_rdo_rpu_coletada_per_capita_em_relacao_a_pop_urbana,massa_rdo_coletada_per_capita_em_relacao_a_pop_total_atendida,custo_unitario_da_coleta,incidencia_do_custo_da_coleta_no_custo_total_do_manejo,incidencia_de_emprega_da_coleta_no_total_de_empregados_no_manejo,relacao_quantidade_rcd_coletada_pela_pref_p_quant_total_rdo_rpu,relacao_quantidades_coletadas_de_rpu_por_rdo,massa_rdo_rpu_coletada_per_capita_em_relacao_a_populacao_total_atendida,massa_de_rcd_per_capita_ano_em_relacao_a_pop_urbana,taxa_de_cobertura_da_col_seletiva_porta_a_porta_em_relacao_a_pop_urbana,taxa_de_recuperacao_de_reciclaveis_em_relacao_a_quantidade_de_rdo_e_rpu,massa_recuperada_per_capita,relacao_entre_quantidades_da_coleta_seletiva_e_rdo,incid_de_papel_papelao_sobre_total_mat_recuperado,incid_de_plasticos_sobre_total_material_recuperado,incid_de_metais_sobre_total_material_recuperado,incid_de_vidros_sobre_total_de_material_recuperado,incidencia_de_outros_sobre_total_material_recuperado,massa_per_capita_recolhida_via_coleta_seletiva,massa_de_rss_coletada_per_capita,taxa_de_rss_sobre_rdo_rpu,taxa_de_terceirizacao_de_varredores,taxa_de_terceirizacao_de_varricao,custo_unitario_da_varricao,produtividade_media_do_varredores,taxa_de_varredores_por_habitante_urbano,incidencia_do_custo_da_varricao_no_custo_total_do_manejo,incidencia_de_varredores_no_total_de_empregados_no_manejo,extensao_total_anual_varrida_per_capita,taxa_de_capinadores_por_habitante_urbano,relacao_de_capinadores_no_total_de_empregados_no_manejo
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29023,SEABRA,291300,BA - IBITIARA,14637,Nordeste,NE,1,2022,Prefeitura Municipal,PM,Local,Administração pública direta,Res. Sólidos ,,,5.51,0.0,,,,,,,90.18,,,0.0,176.95,,,,1388.89,50.46,30.95,,,0.15,,,,,,,,,,,,,,100.0,,,,,48.93,50.0,,,19.05
2,Nordeste,29,BA,2918,CENTRO - NORTE (NRS - JACOBINA),29010,IRECE,291310,BA - IBITITA,16969,Nordeste,NE,1,2022,Prefeitura Municipal de Ibitita,BAHIA,Local,Administração pública direta,Res. Sólidos ,,,0.41,0.0,,,,,,,88.4,,,0.0,,,,,122.0,50.0,,,,0.18,,,,,,,,,,,,,,,,,,,20.49,,,,
2,Nordeste,29,BA,2912,OESTE (NBS - BARREIRAS),29008,IBOTIRAMA,291320,BA - IBOTIRAMA,26309,Nordeste,NE,1,2022,Prefeitura Municipal de Ibotirama,PMI,Local,Administração pública direta,Res. Sólidos ,,6557.1,0.31,100.0,33.98,,0.0,100.0,,,95.02,,,3.85,,,,,12.45,40.87,,,,1.37,,,3.85,,,,,,,,,,,,,,,,10.41,,,,
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29027,VALENCA,291345,BA - IGRAPIUNA,13151,Nordeste,NE,1,2022,Prefeitura Municipal de Igrapiúna,PMI,Local,Administração pública direta,Res. Sólidos ,,23436.0,0.72,0.0,,,100.0,0.0,0.0,,36.65,,,0.0,1151.44,,,1.02,65.03,25.0,25.0,0.06,0.0,1.02,,,,,,,,,,,,,,0.0,,,,,75.0,75.0,,,0.0
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29009,ILHEUS,291360,BA - ILHEUS,178649,Nordeste,NE,3,2022,SECRETARIA DE SERVIÇOS URBANOS,SECSURB,Local,Administração pública direta,Res. Sólidos ,,51186.71,3.97,80.26,11.79,,61.5,38.5,2.14,,91.88,,,83.63,2255.22,,,1.02,189.64,72.6,27.27,,19.58,1.22,,,0.49,,2.1,34.91,14.67,25.9,24.51,0.0,,,2.93,0.0,,62.95,,,17.36,26.74,,,32.09
2,Nordeste,29,BA,2914,NORDESTE (NRS - ALAGOINHAS),29001,ALAGOINHAS,291370,BA - INHAMBUPE,33790,Nordeste,NE,2,2022,Secretária de Infraestrutura Serviço Público,SEINFRA,Local,Administração pública direta,Res. Sólidos ,,952.38,10.0,,,,4.76,95.24,,,43.04,,,100.0,,,,,,,,142.86,,1.32,,,14.29,,,,,,,,,,,,,,,,,,,,
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29006,FEIRA DE SANTANA,291380,BA - IPECAETA,13709,Nordeste,NE,1,2022,Prefeitura Municipal de Ipecaetá,PMI,Local,Administração pública direta,Res. Sólidos ,,30312.5,0.98,100.0,,,0.0,100.0,0.0,,58.36,,,100.0,13578.27,,,,58.82,51.55,6.25,5.88,,2.91,,,11.76,,,,,,,,,,0.03,100.0,,,,,41.24,46.87,,,46.87
2,Nordeste,29,BA,2910,SUL (NBS - ILHEUS),29015,JEQUIE,291390,BA - IPIAU,40706,Nordeste,NE,2,2022,Prefeitura Municipal de Ipiaú,PM,Local,Administração pública direta,Res. Sólidos ,,56563.04,4.93,,,,2.59,97.41,3.45,,100.0,,,100.0,1528.12,,,,426.46,,27.59,,,1.03,,,,,,,,,,,,,,97.14,,,,,,60.34,,,8.62
2,Nordeste,29,BA,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29006,FEIRA DE SANTANA,291400,BA - IPIRA,56876,Nordeste,NE,2,2022,Secretaria de Infraestrutura,SEINFRA,Local,Administração pública direta,Res. Sólidos ,,34306.13,3.19,100.0,,,0.0,100.0,5.56,,70.33,,,100.0,965.36,,,,133.39,26.11,22.22,,,0.66,,,,,,,,,,,,,0.02,100.0,100.0,90.69,,,36.11,30.56,,,41.67
2,Nordeste,29,BA,2912,OESTE (NBS - BARREIRAS),29008,IBOTIRAMA,291410,BA - IPUPIARA,9935,Nordeste,NE,1,2022,Prefeitura Municipal de Ipupiara,PMI,Local,Administração pública direta,Res. Sólidos ,,38365.71,4.17,100.0,,,0.0,100.0,4.76,,68.44,,,100.0,1380.19,,,,50.5,16.25,28.57,74.07,,2.09,,,,,,,,,,,,,,100.0,,,,,27.08,47.62,,,16.67
