co_uf,sg_uf,co_municipio,tx_atendimento_total_agua,tx_atendimento_urbano_agua,tx_atendimento_urbano_esgoto,tx_coleta_esgoto,tx_tratamento_esgoto,consumo_per_capita_agua,idx_conformidade_coliformes,no_prestador_servico_ae
29,BA,290450,29.09,0.0,0.0,0.0,0.0,120.16,66.2,Prefeitura Municipal de Brotas de Macaubas
29,BA,290460,79.74,0.0,0.0,6.28,100.0,131.61,99.2,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290470,81.98,0.0,0.0,0.0,0.0,98.41,118.33,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290475,51.05,0.0,0.0,0.0,0.0,116.93,100.0,Serviço Autônomo de Água e Esgoto
29,BA,290480,47.2,0.0,0.0,0.0,0.0,162.15,121.76,Prefeitura Municipal de Caatiba
29,BA,290485,73.54,0.0,0.0,4.31,100.0,96.45,106.97,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290490,80.75,0.0,0.0,59.3,100.0,92.94,105.85,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290500,60.83,0.0,0.0,0.0,20.69,159.5,111.9,Prefeitura Municipal de Caculé
29,BA,290510,75.09,0.0,0.0,5.22,100.0,108.55,106.48,Central - Sistemas de Saneamento de Jacobina
29,BA,290515,24.13,0.0,0.0,0.0,0.0,94.49,163.46,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290520,59.82,0.0,0.0,0.0,0.0,131.96,108.78,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290530,63.28,0.0,0.0,0.0,0.0,108.13,127.54,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290540,84.91,0.0,0.0,26.82,100.0,148.36,101.85,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290550,48.44,0.0,0.0,0.0,0.0,129.82,155.09,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290560,77.44,0.0,0.0,41.5,100.0,95.66,98.48,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290570,95.54,0.0,0.0,41.7,61.42,148.9,126.02,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290580,55.97,0.0,0.0,11.03,100.0,100.07,124.8,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290590,37.66,0.0,0.0,0.0,0.0,107.38,111.57,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290600,49.83,0.0,0.0,4.89,100.0,93.92,101.0,Central - Sistemas de Saneamento de Jacobina
29,BA,290610,50.16,0.0,0.0,37.66,100.0,146.72,118.52,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290620,82.87,0.0,0.0,0.0,0.0,110.4,114.81,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290630,77.09,0.0,0.0,69.95,100.0,88.57,106.36,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290640,64.9,0.0,0.0,0.0,0.0,116.93,113.44,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290650,90.76,0.0,0.0,42.54,100.0,115.66,124.89,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290660,62.89,0.0,0.0,0.0,0.0,142.89,111.51,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290670,76.73,0.0,0.0,0.0,0.0,109.02,123.33,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290680,67.64,0.0,0.0,0.0,0.0,97.25,114.35,Prefeitura Municipal de Cansanção
29,BA,290682,55.29,0.0,0.0,0.0,0.0,112.29,37.21,Prefeitura Municipal de Canudos
29,BA,290685,67.9,0.0,0.0,0.0,0.0,116.82,106.25,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290687,96.35,0.0,0.0,4.09,100.0,104.07,96.85,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290689,24.59,0.0,0.0,0.0,0.0,165.65,160.26,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290690,68.53,0.0,0.0,38.57,100.0,96.63,115.44,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290700,86.23,0.0,0.0,0.0,0.0,85.61,85.42,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290710,100.0,0.0,0.0,28.76,100.0,253.75,100.0,Serviço Autônomo de Água e Esgoto
29,BA,290720,90.45,0.0,0.0,58.82,0.0,33.68,100.0,Serviço Autônomo de Água e Esgoto
29,BA,290730,85.18,0.0,0.0,3.35,100.0,104.74,115.28,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290740,76.24,0.0,0.0,0.0,0.0,120.46,118.59,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290750,99.52,0.0,0.0,0.0,0.0,105.4,122.14,Serviço Autônomo de Água e Esgoto
29,BA,290755,51.23,0.0,0.0,27.06,100.0,137.71,116.94,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290760,88.85,0.0,0.0,0.0,0.0,118.64,129.6,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290770,52.93,0.0,0.0,38.27,100.0,112.45,114.35,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290780,66.44,0.0,0.0,0.0,0.0,112.5,147.67,Prefeitura Municipal de Cícero Dantas
29,BA,290790,71.28,0.0,0.0,0.0,0.0,122.43,87.15,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290800,88.81,0.0,0.0,0.0,0.0,116.2,114.37,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290820,72.14,0.0,0.0,1.67,100.0,134.7,112.63,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290830,60.09,0.0,0.0,0.0,0.0,98.11,120.08,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290840,84.93,0.0,0.0,3.61,100.0,92.55,110.78,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290850,77.76,0.0,0.0,7.04,100.0,67.54,105.95,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290860,59.31,0.0,0.0,35.79,100.0,118.13,78.74,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290870,46.67,0.0,0.0,0.0,0.0,127.32,142.46,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290880,49.18,0.0,0.0,0.0,0.0,140.31,142.95,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290890,42.15,0.0,0.0,0.0,0.0,100.66,110.12,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290900,72.26,0.0,0.0,0.0,0.0,122.13,79.76,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290920,47.87,0.0,0.0,0.0,0.0,121.24,127.56,Prefeitura Municipal de Coronel João Sá
29,BA,290930,81.87,0.0,0.0,0.0,0.0,197.68,100.0,Serviço Autônomo de Água e Esgoto
29,BA,290940,49.16,0.0,0.0,0.0,0.0,159.39,108.13,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290950,66.55,0.0,0.0,69.46,100.0,96.15,167.31,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290960,42.86,0.0,0.0,0.0,0.0,103.85,137.5,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290970,38.61,0.0,0.0,0.0,0.0,120.09,135.0,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290980,90.05,0.0,0.0,60.69,100.0,99.06,101.49,Empresa Baiana de Águas e Saneamento S.A.
29,BA,290990,88.13,0.0,0.0,100.0,75.16,88.65,100.0,Serviço Autônomo de Água e Esgoto
29,BA,291000,39.44,0.0,0.0,0.0,0.0,138.09,124.54,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291005,97.94,0.0,0.0,63.39,100.0,82.22,132.06,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291010,77.63,0.0,0.0,0.0,0.0,127.63,100.0,Serviço Autônomo de Água e Esgotos
29,BA,291020,99.75,0.0,0.0,0.0,0.0,108.15,107.87,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291030,40.69,0.0,0.0,0.0,0.0,123.81,100.64,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291040,27.68,0.0,0.0,67.07,99.55,116.71,137.37,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291050,61.79,0.0,0.0,21.51,100.0,113.85,91.85,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291060,97.21,0.0,0.0,0.0,0.0,84.0,96.31,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291070,68.25,0.0,0.0,23.82,100.0,108.84,113.54,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291072,93.12,0.0,0.0,10.16,100.0,104.19,104.96,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291075,90.6,0.0,0.0,0.0,0.0,102.33,127.48,Prefeitura Municipal de Fátima
29,BA,291077,99.77,0.0,0.0,0.0,0.0,87.63,100.0,Serviço Autônomo de Água e Esgoto
29,BA,291080,89.79,0.0,0.0,68.42,99.95,118.04,106.41,Empresa Baiana de Águas e Saneamento S.A.
29,BA,291085,74.11,0.0,0.0,0.0,0.0,115.31,141.47,Empresa Baiana de Águas e Saneamento S.A.
