ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil
2022,29,BA,290710,CARINHANHA,428.0,10.0,23.36448598130841
2022,29,BA,290720,CASA NOVA,972.0,17.0,17.48971193415638
2022,29,BA,290730,CASTRO ALVES,292.0,7.0,23.972602739726025
2022,29,BA,290740,CATOLANDIA,52.0,0.0,0.0
2022,29,BA,290750,CATU,432.0,7.0,16.203703703703702
2022,29,BA,290755,CATURAMA,80.0,1.0,12.5
2022,29,BA,290760,CENTRAL,187.0,3.0,16.0427807486631
2022,29,BA,290770,CHORROCHO,125.0,2.0,16.0
2022,29,BA,290780,CICERO DANTAS,289.0,7.0,24.22145328719723
2022,29,BA,290790,CIPO,238.0,8.0,33.61344537815126
2022,29,BA,290800,COARACI,186.0,1.0,5.376344086021506
2022,29,BA,290810,COCOS,247.0,5.0,20.242914979757085
2022,29,BA,290820,CONCEICAO DA FEIRA,208.0,4.0,19.230769230769234
2022,29,BA,290830,CONCEICAO DO ALMEIDA,160.0,6.0,37.5
2022,29,BA,290840,CONCEICAO DO COITE,840.0,8.0,9.523809523809526
2022,29,BA,290850,CONCEICAO DO JACUIPE,357.0,5.0,14.005602240896359
2022,29,BA,290860,CONDE,296.0,3.0,10.135135135135135
2022,29,BA,290870,CONDEUBA,170.0,0.0,0.0
2022,29,BA,290880,CONTENDAS DO SINCORA,42.0,0.0,0.0
2022,29,BA,290890,CORACAO DE MARIA,225.0,4.0,17.77777777777778
2022,29,BA,290900,CORDEIROS,82.0,0.0,0.0
2022,29,BA,290910,CORIBE,144.0,1.0,6.944444444444444
2022,29,BA,290920,CORONEL JOAO SA,168.0,2.0,11.904761904761903
2022,29,BA,290930,CORRENTINA,471.0,5.0,10.615711252653927
2022,29,BA,290940,COTEGIPE,162.0,2.0,12.345679012345679
2022,29,BA,290950,CRAVOLANDIA,46.0,3.0,65.21739130434783
2022,29,BA,290960,CRISOPOLIS,237.0,4.0,16.877637130801688
2022,29,BA,290970,CRISTOPOLIS,151.0,1.0,6.622516556291391
2022,29,BA,290980,CRUZ DAS ALMAS,705.0,12.0,17.02127659574468
2022,29,BA,290990,CURACA,511.0,7.0,13.698630136986301
2022,29,BA,291000,DARIO MEIRA,125.0,0.0,0.0
2022,29,BA,291005,DIAS D'AVILA,894.0,18.0,20.13422818791946
2022,29,BA,291010,DOM BASILIO,107.0,0.0,0.0
2022,29,BA,291020,DOM MACEDO COSTA,46.0,0.0,0.0
2022,29,BA,291030,ELISIO MEDRADO,70.0,0.0,0.0
2022,29,BA,291040,ENCRUZILHADA,234.0,5.0,21.367521367521366
2022,29,BA,291050,ENTRE RIOS,476.0,8.0,16.80672268907563
2022,29,BA,291060,ESPLANADA,432.0,5.0,11.574074074074073
2022,29,BA,291070,EUCLIDES DA CUNHA,747.0,13.0,17.402945113788487
2022,29,BA,291072,EUNAPOLIS,1621.0,30.0,18.507094386181368
2022,29,BA,291075,FATIMA,190.0,4.0,21.052631578947366
2022,29,BA,291077,FEIRA DA MATA,58.0,0.0,0.0
2022,29,BA,291080,FEIRA DE SANTANA,8687.0,123.0,14.159088292851388
2022,29,BA,291085,FILADELFIA,246.0,5.0,20.32520325203252
2022,29,BA,291090,FIRMINO ALVES,33.0,1.0,30.303030303030305
2022,29,BA,291100,FLORESTA AZUL,67.0,1.0,14.925373134328359
2022,29,BA,291110,FORMOSA DO RIO PRETO,408.0,6.0,14.705882352941176
2022,29,BA,291120,GANDU,407.0,8.0,19.656019656019655
2022,29,BA,291125,GAVIAO,30.0,0.0,0.0
2022,29,BA,291130,GENTIO DO OURO,96.0,0.0,0.0
2022,29,BA,291140,GLORIA,192.0,3.0,15.625
2022,29,BA,291150,GONGOGI,81.0,0.0,0.0
2022,29,BA,291160,GOVERNADOR MANGABEIRA,272.0,5.0,18.38235294117647
2022,29,BA,291165,GUAJERU,77.0,0.0,0.0
2022,29,BA,291170,GUANAMBI,1192.0,11.0,9.228187919463087
2022,29,BA,291180,GUARATINGA,175.0,1.0,5.714285714285714
2022,29,BA,291185,HELIOPOLIS,127.0,2.0,15.748031496062993
2022,29,BA,291190,IACU,318.0,5.0,15.723270440251572
2022,29,BA,291200,IBIASSUCE,102.0,1.0,9.803921568627452
2022,29,BA,291210,IBICARAI,224.0,3.0,13.392857142857142
2022,29,BA,291220,IBICOARA,316.0,5.0,15.822784810126583
2022,29,BA,291230,IBICUI,108.0,3.0,27.777777777777775
2022,29,BA,291240,IBIPEBA,171.0,3.0,17.543859649122805
2022,29,BA,291250,IBIPITANGA,113.0,2.0,17.699115044247787
2022,29,BA,291260,IBIQUERA,41.0,1.0,24.390243902439025
2022,29,BA,291270,IBIRAPITANGA,295.0,5.0,16.949152542372882
2022,29,BA,291280,IBIRAPUA,124.0,1.0,8.064516129032258
2022,29,BA,291290,IBIRATAIA,268.0,4.0,14.925373134328359
2022,29,BA,291300,IBITIARA,126.0,3.0,23.809523809523807
2022,29,BA,291310,IBITITA,178.0,1.0,5.617977528089887
2022,29,BA,291320,IBOTIRAMA,398.0,6.0,15.07537688442211
2022,29,BA,291330,ICHU,56.0,1.0,17.857142857142858
2022,29,BA,291340,IGAPORA,159.0,0.0,0.0
2022,29,BA,291345,IGRAPIUNA,148.0,2.0,13.513513513513514
2022,29,BA,291350,IGUAI,283.0,2.0,7.067137809187279
2022,29,BA,291360,ILHEUS,2030.0,24.0,11.822660098522169
2022,29,BA,291370,INHAMBUPE,406.0,7.0,17.241379310344826
2022,29,BA,291380,IPECAETA,132.0,0.0,0.0
2022,29,BA,291390,IPIAU,576.0,9.0,15.625
2022,29,BA,291400,IPIRA,657.0,10.0,15.220700152207002
2022,29,BA,291410,IPUPIARA,48.0,2.0,41.666666666666664
2022,29,BA,291420,IRAJUBA,60.0,1.0,16.666666666666668
2022,29,BA,291430,IRAMAIA,103.0,1.0,9.70873786407767
2022,29,BA,291440,IRAQUARA,352.0,2.0,5.681818181818182
2022,29,BA,291450,IRARA,244.0,4.0,16.393442622950822
2022,29,BA,291460,IRECE,1103.0,17.0,15.41251133272892
2022,29,BA,291465,ITABELA,483.0,5.0,10.351966873706004
2022,29,BA,291470,ITABERABA,776.0,8.0,10.309278350515465
2022,29,BA,291480,ITABUNA,2227.0,54.0,24.247867085765602
2022,29,BA,291490,ITACARE,348.0,9.0,25.862068965517242
2022,29,BA,291500,ITAETE,190.0,2.0,10.526315789473683
2022,29,BA,291510,ITAGI,142.0,0.0,0.0
2022,29,BA,291520,ITAGIBA,176.0,2.0,11.363636363636363
2022,29,BA,291530,ITAGIMIRIM,71.0,1.0,14.084507042253522
2022,29,BA,291535,ITAGUACU DA BAHIA,164.0,3.0,18.29268292682927
2022,29,BA,291540,ITAJU DO COLONIA,66.0,0.0,0.0
2022,29,BA,291550,ITAJUIPE,207.0,4.0,19.32367149758454
2022,29,BA,291560,ITAMARAJU,909.0,15.0,16.5016501650165
2022,29,BA,291570,ITAMARI,115.0,1.0,8.695652173913043
2022,29,BA,291580,ITAMBE,253.0,1.0,3.952569169960474
2022,29,BA,291590,ITANAGRA,90.0,1.0,11.11111111111111
2022,29,BA,291600,ITANHEM,180.0,5.0,27.777777777777775
2022,29,BA,291610,ITAPARICA,253.0,4.0,15.810276679841897
2022,29,BA,291620,ITAPE,101.0,2.0,19.801980198019802
2022,29,BA,291630,ITAPEBI,116.0,1.0,8.620689655172413
2022,29,BA,291640,ITAPETINGA,835.0,17.0,20.35928143712575
2022,29,BA,291650,ITAPICURU,312.0,8.0,25.64102564102564
2022,29,BA,291660,ITAPITANGA,69.0,2.0,28.985507246376812
2022,29,BA,291670,ITAQUARA,80.0,2.0,25.0
2022,29,BA,291680,ITARANTIM,156.0,2.0,12.82051282051282
