ano,co_uf,sg_uf,co_municipio,no_municipio,nascidos_vivos,obitos_infantis,taxa_mortalidade_infantil,co_regiao_pais,regiao_pais,co_macrorregiao_saude,macrorregiao_de_saude,co_regiao_saude,regiao_de_saude,populacao_ibge_2022,nome_da_regiao,sigla_da_regiao,identificacao_da_faixa_populacional,ano_de_referencia,nome_do_orgao_responsavel_pela_gestao,sigla_do_orgao_responsavel_pela_gestao,abrangencia,natureza_juridica_do_orgao_municipal_responsavel,tipo_de_servico,taxa_de_empregados_por_habitante_urbano,despesa_por_empregado,incidencia_de_despesas_com_rsu_na_prefeitura,incidencia_de_despesas_com_empresas_contratadas,auto_suficiencia_financeira,despesas_per_capita_com_rsu,incidencia_de_empregados_proprios,incidencia_de_empreg_de_empr_contrat_no_total_de_empreg_no_manejo,incidencia_de_empreg_admin_no_total_de_empreg_no_manejo,receita_arrecadada_per_capita_com_servicos_de_manejo,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_total,tx_cobertura_da_coleta_rdo_em_relacao_a_pop_urbana,tx_cobertura_de_coleta_direta_rdo_relativo_a_pop_urbana,taxa_de_terceirizacao_da_coleta,produtividades_media_de_coletadores_e_motorista,taxa_de_motoristas_e_coletadores_por_habitante_urbano,massa_rdo_rpu_coletada_per_capita_em_relacao_a_pop_urbana,massa_rdo_coletada_per_capita_em_relacao_a_pop_total_atendida,custo_unitario_da_coleta,incidencia_do_custo_da_coleta_no_custo_total_do_manejo,incidencia_de_emprega_da_coleta_no_total_de_empregados_no_manejo,relacao_quantidade_rcd_coletada_pela_pref_p_quant_total_rdo_rpu,relacao_quantidades_coletadas_de_rpu_por_rdo,massa_rdo_rpu_coletada_per_capita_em_relacao_a_populacao_total_atendida,massa_de_rcd_per_capita_ano_em_relacao_a_pop_urbana,taxa_de_cobertura_da_col_seletiva_porta_a_porta_em_relacao_a_pop_urbana,taxa_de_recuperacao_de_reciclaveis_em_relacao_a_quantidade_de_rdo_e_rpu,massa_recuperada_per_capita,relacao_entre_quantidades_da_coleta_seletiva_e_rdo,incid_de_papel_papelao_sobre_total_mat_recuperado,incid_de_plasticos_sobre_total_material_recuperado,incid_de_metais_sobre_total_material_recuperado,incid_de_vidros_sobre_total_de_material_recuperado,incidencia_de_outros_sobre_total_material_recuperado,massa_per_capita_recolhida_via_coleta_seletiva,massa_de_rss_coletada_per_capita,taxa_de_rss_sobre_rdo_rpu,taxa_de_terceirizacao_de_varredores,taxa_de_terceirizacao_de_varricao,custo_unitario_da_varricao,produtividade_media_do_varredores,taxa_de_varredores_por_habitante_urbano,incidencia_do_custo_da_varricao_no_custo_total_do_manejo,incidencia_de_varredores_no_total_de_empregados_no_manejo,extensao_total_anual_varrida_per_capita,taxa_de_capinadores_por_habitante_urbano,relacao_de_capinadores_no_total_de_empregados_no_manejo,tx_atendimento_total_agua,tx_atendimento_urbano_agua,tx_atendimento_urbano_esgoto,tx_coleta_esgoto,tx_tratamento_esgoto,consumo_per_capita_agua,idx_conformidade_coliformes,no_prestador_servico_ae
2022,29,BA,290010,ABAIRA,248.0,6.0,24.19354838709677,2,Nordeste,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29023,SEABRA,7301,Nordeste,NE,1,2022,Prefeitura Municipal de Abaíra,PMA,Local,Administração pública direta,Res. Sólidos ,,14400.0,8.94,,,,100.0,0.0,,,44.86,,,0.0,,,,,,,,98.16,,0.77,,,,,,,,,,,,,,,,,,,,,,,,99.85,0.0,0.0,88.89,0.0,67.65,100.0,Prefeitura Municipal de Abaíra
2022,29,BA,290030,ACAJUTIBA,849.0,23.0,27.090694935217904,2,Nordeste,2914,NORDESTE (NRS - ALAGOINHAS),29001,ALAGOINHAS,13795,Nordeste,NE,1,2022,Prefeitura Municipal de Acajutiba,PMA,Local,Empresa pública,Res. Sólidos ,,,1.31,97.48,,,,,,,90.76,,,97.52,,,,,43.36,62.37,,,,2.65,,,,,,,,,,,,,1.65,,,,,,33.32,,,,,87.11,0.0,0.0,0.0,0.0,98.29,137.72,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,290035,ADUSTINA,794.0,16.0,20.151133501259444,2,Nordeste,2914,NORDESTE (NRS - ALAGOINHAS),29019,RIBEIRA DO POMBAL,14201,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE ADUSTINA,PMA,Local,Administração pública direta,Res. Sólidos ,,30765.64,1.35,100.0,,,0.0,100.0,11.54,,55.35,,,0.0,1840.26,,,,114.2,24.67,11.54,41.67,,0.6,,,,,,,,,,,,,0.21,100.0,,,,,71.26,38.46,,,38.46,72.97,0.0,0.0,0.0,0.0,97.35,89.94,Prefeitura Municipal de Adustina
2022,29,BA,290040,AGUA FRIA,694.0,8.0,11.527377521613833,2,Nordeste,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29025,SERRINHA,14497,Nordeste,NE,1,2022,SECRETARIA DE INFRAESTRUTURA E SERVICOS PÚBLICOS,SEINFRA,Local,Administração pública direta,Res. Sólidos ,,,3.24,,,,,,,,68.98,,,0.0,,,,,,,,8.38,,0.65,,,,,,,,,,,,,,,,,,,,,,,,36.56,0.0,0.0,0.0,0.0,155.7,95.83,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,290050,ERICO CARDOSO,560.0,11.0,19.642857142857142,2,Nordeste,2911,SUDOESTE (NBS - VITORIA CONQUISTA),29003,BRUMADO,10604,Nordeste,NE,1,2022,Prefeitura Municipal de Érico Cardoso,PMEC,Local,Administração pública direta,Res. Sólidos ,,44611.43,2.27,,,,0.0,100.0,,,58.47,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,73.44,0.0,0.0,0.0,0.0,149.32,109.49,Serviço Autônomo de Água e Esgoto
2022,29,BA,290060,AIQUARA,244.0,2.0,8.196721311475411,2,Nordeste,2910,SUL (NBS - ILHEUS),29015,JEQUIE,4447,Nordeste,NE,1,2022,Prefeitura Municipal de Aiquara,PMA,Local,Administração pública direta,Res. Sólidos ,,68140.46,2.98,80.41,,,55.56,44.44,,,92.4,,,95.67,,,,,328.19,45.7,,44.5,,1.14,,,1.05,,,,,,,,,,0.15,,,,,,19.59,,,,,58.24,0.0,0.0,0.0,0.0,103.22,139.1,Prefeitura Municipal de Aiquara
2022,29,BA,290070,ALAGOINHAS,10535.0,147.0,13.953488372093023,2,Nordeste,2914,NORDESTE (NRS - ALAGOINHAS),29001,ALAGOINHAS,151055,Nordeste,NE,3,2022,SECRETARIA DE SERVIÇOS PÚBLICOS,SESEP,Local,Administração pública direta,Res. Sólidos ,,182002.82,4.14,99.12,5.17,,6.77,93.23,9.77,,94.08,,,100.0,3120.59,,,,154.85,29.17,32.33,,,0.88,,,2.21,,,52.63,41.71,3.18,0.99,1.49,,,,100.0,,,,,49.37,29.32,,,24.06,97.26,0.0,0.0,38.85,69.48,106.47,123.63,Serviço Autônomo de Água e Esgoto
2022,29,BA,290080,ALCOBACA,1643.0,23.0,13.99878271454656,2,Nordeste,2916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29026,TEIXEIRA DE FREITAS,24530,Nordeste,NE,1,2022,Prefeitura Municipal de Alcobaça,PMA,Local,Administração pública direta,Res. Sólidos ,,23200.0,0.74,0.0,,,100.0,0.0,24.0,,89.69,,,0.0,,,,,345.24,100.0,0.0,,,0.21,,,,,,,,,,,,,,,,,,,0.0,0.0,,,60.0,51.58,0.0,0.0,0.0,0.0,118.03,110.53,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,290100,AMARGOSA,2246.0,29.0,12.911843276936777,2,Nordeste,2915,LESTE - (NRS - SALVADOR),29022,SANTO ANTONIO DE JESUS,36521,Nordeste,NE,2,2022,PREFEITURA MUNICIPAL DE AMARGOSA,PMA,Local,Administração pública direta,Res. Sólidos ,,54004.58,3.67,100.0,,,3.12,96.87,6.25,,90.63,,,100.0,2387.76,,,0.89,133.7,37.91,19.79,102.04,37.38,1.22,,,3.27,,4.67,66.67,23.33,10.0,0.0,0.0,,,0.04,100.0,100.0,147.34,1.81,,48.31,31.25,,,40.62,72.5,0.0,0.0,2.35,100.0,119.32,105.56,Empresa Baiana de Águas e Saneamento S.A.
2022,29,BA,290110,AMELIA RODRIGUES,873.0,20.0,22.90950744558992,2,Nordeste,2917,CENTRO-LESTE (NRS - FEIRA SANTANA),29006,FEIRA DE SANTANA,24138,Nordeste,NE,1,2022,"Secretaria de Obras, Habitação e Serviços Publicos",SOSP,Local,Administração pública direta,Res. Sólidos ,,39955.56,5.91,100.0,,,0.0,100.0,11.11,,48.89,,,100.0,2076.68,,,1.28,153.54,55.51,22.22,,18.18,1.51,,,,,,,,,,,,,,100.0,,,,,44.49,26.67,,,22.22,82.41,0.0,0.0,0.0,0.0,91.46,90.24,Empresa Baiana de Águas e Saneamento S.A.
