tabela_de_indicadores,nan,nan_1,nan_2,nan_3,nan_4,nan_5,nan_6,nan_7,nan_8,nan_9,nan_10,nan_11,nan_13,nan_14,nan_15,nan_18,nan_19,nan_20,nan_22,nan_25,nan_26,nan_30,nan_31,nan_32,nan_35,nan_48,nan_49,nan_54,nan_55,nan_58
MUNICÍPIOS,,,,,,,,ORGÃO RESPONSÁVEL PELA GESTÃO,,,,,,,,,,,TABELA IN02 - INDICADORES SOBRE COLETA DE RESÍDUOS SÓLIDOS,,,,,,,,"TABELA IN05 - INDICADORES SOBRE SERVIÇOS DE VARRIÇÃO, CAPINA E PODA",,,
Código do município,Código do IBGE,Município,UF,Nome da Região,Sigla da Regiao,Identificação da Faixa Populacional,Ano de referência,Nome do orgão responsável pela gestão,Sigla do orgão responsável pela gestão,Abrangência,Natureza jurídica do órgão municipal responsável,Tipo de serviço,Despesa por empregado,Incidência de despesas com RSU na prefeitura,Incidência de despesas com  empresas contratadas,incidência de  empregados próprios,Incidência de empreg. de empr. contrat. no total de empreg. no manejo ,Incidência de empreg. admin. no total de empreg no manejo,Tx cobertura da coleta RDO em relação à pop. total,Taxa de terceirização da coleta,Produtividades média de coletadores e motorista,Custo unitário da coleta,Incidência do custo da coleta no custo total do manejo,Incidência de emprega.da coleta no total de empregados no manejo,Massa [RDO+RPU] coletada per capita em relação à população total atendida ,Taxa de RSS sobre [RDO+RPU],Taxa de terceirização de varredores,Incidência do custo da varrição no custo total do manejo,Incidência de varredores no total de empregados no manejo,Relação de capinadores no total de empregados no manejo 
,,,,,,,,,,,,,R$/empregado,%,%,%,%,%,%,%,Kg/empregado  x dia,R$/tonelada,%,%,Kg/(hab.x dia),%,%,%,%,%
-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
520005,5200050,Abadia de Goiás,GO,Centro-Oeste,CO,1,2022,Secretaria de Obras,SEMOBI,Local,Administração pública direta,Res. Sólidos ,36404.65,2.4,,100,0,,80.44,0,,,,,0.64,0.03,,,,
310010,3100104,Abadia dos Dourados,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Abadia Dos Dourados,PMAD,Local,Administração pública direta,Res. Sólidos ,17491.58,2.84,,100,0,,93.27,24.03,,,,,0.18,,,,,
520010,5200100,Abadiânia,GO,Centro-Oeste,CO,1,2022,SECRETARIA MUNICIPAL DE MEIO AMBIENTE E Desenvolvimento Sustentável,SEMADS,Local,Administração pública direta,Res. Sólidos ,36222.22,1.38,50.92,33.33,66.67,7.41,58.03,0,3450.48,37.04,40.9,37.04,2.96,0.24,100,18.4,22.22,22.22
310020,3100203,Abaeté,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Abaeté,PMA,Local,Administração pública direta,Res. Sólidos ,35758.05,7.04,0,100,0,3.25,86.14,0.13,2102.77,237.62,42.67,9.76,1.11,,0,33.68,24.39,9.76
150010,1500107,Abaetetuba,PA,Norte,N ,3,2022,SECRETARIA MUNICIPAL DE OBRAS E VIAÇÃO DE ABAETETUBA,SEMOB,Local,Administração pública direta,Res. Sólidos ,82300.78,1.22,85.71,52.7,47.3,6.76,74.04,100,3505.59,141.31,81.47,43.24,0.82,0.15,0,8.16,24.32,20.27
230010,2300101,Abaiara,CE,Nordeste,NE,1,2022,Prefeitura Municipal de Abaiara,PMA,Local,Administração pública direta,Res. Sólidos ,22355.63,2.45,,35.56,64.44,2.22,41.78,100,281.55,,,17.78,0.46,0.14,41.18,,37.78,17.78
290010,2900108,Abaíra,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Abaíra,PMA,Local,Administração pública direta,Res. Sólidos ,14400,8.94,,100,0,,44.86,0,,,,,0.77,,,,,
410010,4100103,Abatiá,PR,Sul,S ,1,2022,PREFEITURA ABATIÁ,PMA,Local,Administração pública direta,Res. Sólidos ,36558.68,3.25,24.8,100,0,,74.58,25.24,,162.86,60.16,,1.51,,,15.04,,
420005,4200051,Abdon Batista,SC,Sul,S ,1,2022,SECRETARIA DE URBANISMO,SURB,Local,Administração pública direta,Res. Sólidos ,18776.67,0.47,100,66.67,33.33,0,49.04,100,,431.97,88.76,,0.5,1.38,,0,,
420010,4200101,Abelardo Luz,SC,Sul,S ,1,2022,Prefeitura Municipal de Abelardo Luz,pmabl,Local,Administração pública direta,Res. Sólidos ,28643.39,0.97,0,24.14,75.86,6.9,55.96,99.56,2406.82,174.79,95.11,20.69,1.27,0.04,,0,0,20.69
150013,1500131,Abel Figueiredo,PA,Norte,N ,1,2022,"SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTE E URBANISMO",SMOTU,Local,Administração pública direta,Res. Sólidos ,45800,1.49,100,0,100,,87.04,100,,91.6,100,,2.24,,,0,,
310030,3100302,Abre Campo,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE ABRE CAMPO,PMAC,Local,Administração pública direta,Res. Sólidos ,28187.02,2.19,0,100,0,,93.34,0,,135.55,15.68,,0.32,0.09,,57.87,,
260005,2600054,Abreu e Lima,PE,Nordeste,NE,2,2022,Prefeitura Municipal de Abreu e Lima,PMAL,Local,Administração pública direta,Res. Sólidos ,38293.24,4.31,100,1.23,98.77,3.7,100,100,3876.05,48.44,30.31,19.75,1.08,0.02,100,49.18,39.51,37.04
170025,1700251,Abreulândia,TO,Norte,N ,1,2022,Prefeitura Municipal de Abreulândia,PMA,Local,Administração pública direta,Res. Sólidos ,24320.15,3.97,3.45,100,0,10,59.01,0,287.54,370.37,20.56,15,0.49,,0,75.99,55,20
310040,3100401,Acaiaca,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Acaiaca,PMA,Local,Administração pública direta,Res. Sólidos ,,1.23,,,,,100,75.58,412.14,,,25,0.36,,0,,25,37.5
210005,2100055,Açailândia,MA,Nordeste,NE,3,2022,Prefeitura Municipal de Açailândia,PMA,Local,Administração pública direta,Res. Sólidos ,17507.05,0.99,34.62,67.29,32.71,2.63,100,2.25,1444.24,50.19,82.83,63.91,1.98,0.06,0,12.25,13.53,13.53
290030,2900306,Acajutiba,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Acajutiba,PMA,Local,Empresa pública,Res. Sólidos ,,1.31,97.48,,,,90.76,97.52,,43.36,62.37,,2.65,1.65,,33.32,,
150020,1500206,Acará,PA,Norte,N ,2,2022,Prefeitura Municipal Acará,PMA,Local,Administração pública direta,Res. Sólidos ,10690.77,0.36,0,87.95,12.05,3.61,33.52,0,2002.13,29.64,25.12,14.46,1.04,0.6,0,39.28,24.1,30.12
230015,2300150,Acarape,CE,Nordeste,NE,1,2022,Prefeitura Municipal de Acarape,PMA,Local,Administração pública direta,Res. Sólidos ,23143.26,2.67,,100,0,13.04,50.28,0,2085.81,,,10.14,1.78,,0,,14.49,13.04
230020,2300200,Acaraú,CE,Nordeste,NE,2,2022,SECRETARIA DE INFRAESTRUTURA DE ACARAÚ,SEINFRA,Local,Administração pública direta,Res. Sólidos ,76229.51,5,100,0,100,,83.22,100,,328.72,90.32,,0.64,0.13,,5.38,,
240010,2400109,Acari,RN,Nordeste,NE,1,2022,MUNICÍPIO DE ACARI,PMA,Local,Administração pública direta,Res. Sólidos ,,2.39,100,,,,80.61,100,2555.91,62.97,27,14.29,1.28,,62.5,69.04,45.71,14.29
220005,2200053,Acauã,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Acauã,PMA,Local,Administração pública direta,Res. Sólidos ,8000,0.27,100,0,100,0,31.15,10.53,905.22,28.24,37.5,37.5,1.3,0.11,100,62.5,62.5,0
430003,4300034,Aceguá,RS,Sul,S ,1,2022,Secretaria de Obras e Serviços Públicos,SMOSP,Local,Administração pública direta,Res. Sólidos ,,2.19,75.59,,,,95.92,96.11,361.08,573.99,49.02,66.67,0.46,0.18,0,20.94,22.22,33.33
120001,1200013,Acrelândia,AC,Norte,N ,1,2022,Prefeitura Municipal de Acrelândia,PMA,Local,Administração pública direta,Res. Sólidos ,42459.51,5.21,87.48,20.59,79.41,5.88,42.76,54.23,1745.21,133.79,20.25,11.76,2,0.03,100,2.83,2.94,11.76
520013,5200134,Acreúna,GO,Centro-Oeste,CO,1,2022,PREFEITURA MUNICIPAL DE ACREUNA,PMA,Local,Administração pública direta,Res. Sólidos ,46718.46,8.76,1.21,100,0,,82.97,0,,39.92,6.59,,0.77,0.12,,32.93,,
240020,2400208,Açu,RN,Nordeste,NE,2,2022,Secretaria de Serviços Públicos,SMSP,Local,Administração pública direta,Res. Sólidos ,66206.31,3.45,,0,100,3.88,89.92,0,5111.82,,,19.42,1.73,,100,,14.56,10.68
310050,3100500,Açucena,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Açucena,PMA,Local,Administração pública direta,Res. Sólidos ,5008.42,19.03,0,100,0,5.26,80,19.62,479.23,47.62,73.71,42.11,0.57,0.07,0,9.88,21.05,5.26
350010,3500105,Adamantina,SP,Sudeste,SE,2,2022,Secretaria de Obras e Serviços,PMA,Local,Administração pública direta,Res. Sólidos ,43128.97,1.88,49.42,100,0,4.48,97.43,0,1370.35,50.86,18.87,37.31,0.87,1.22,0,4.53,8.96,22.39
520015,5200159,Adelândia,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Adelândia,PMA,Local,Administração pública direta,Res. Sólidos ,25311.94,3.68,,100,0,,92.82,0,,,,,0.51,,,,,
350020,3500204,Adolfo,SP,Sudeste,SE,1,2022,Prefeitura Municipal de Adolfo,PMA,Local,Administração pública direta,Res. Sólidos ,,3.55,35.41,,,,89.63,0,,503.09,64.59,,0.82,0.17,,16.46,,
410020,4100202,Adrianópolis,PR,Sul,S ,1,2022,Prefeitura Municipal de Adrianópolis,PMA,Local,Administração pública direta,Res. Sólidos ,84379.67,0.62,,100,0,0,79.06,0,753.57,,,100,0.39,,,,0,0
290035,2900355,Adustina,BA,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE ADUSTINA,PMA,Local,Administração pública direta,Res. Sólidos ,30765.64,1.35,100,0,100,11.54,55.35,0,1840.26,114.2,24.67,11.54,0.6,0.21,100,71.26,38.46,38.46
260010,2600104,Afogados da Ingazeira,PE,Nordeste,NE,2,2022,SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS,PMAI,Local,Administração pública direta,Res. Sólidos ,,1.41,0,,,,79.99,79.03,418.53,38.17,7.01,32.26,0.46,0.37,33.33,7.01,36.29,16.13
240030,2400307,Afonso Bezerra,RN,Nordeste,NE,1,2022,SECRETARIA DE OBRAS E SERVIÇOS URBANOS,SMOSU,Local,Administração pública direta,Res. Sólidos ,84705.88,2.92,,0,100,,92.26,100,,,,,1.34,,,,,
320010,3200102,Afonso Cláudio,ES,Sudeste,SE,2,2022,PREFEITURA MUNICIPAL DE AFONSO CLÁUDIO,PMAC,Local,Administração pública direta,Res. Sólidos ,39578.64,2.48,34.64,100,0,7.89,65.18,14.81,1231.28,128.41,19.31,13.16,0.62,0.37,0,40.54,68.42,6.58
150030,1500305,Afuá,PA,Norte,N ,2,2022,Prefeitura Municipal de Afuá,PMA,Local,Administração pública direta,Res. Sólidos ,,2.02,,,,,27.23,0,670.93,,,13.13,0.73,0.37,0,,19.19,38.38
260030,2600302,Agrestina,PE,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE AGRESTINA,PMA,Local,Administração pública direta,Res. Sólidos ,31375.89,1.87,0.63,100,0,0,99.83,0,1625.97,69.14,24.67,22,0.65,,0,74.69,70,8
220010,2200103,Agricolândia,PI,Nordeste,NE,1,2022,Prefeitura Municipal de Agricolândia,PMA,Local,Administração pública direta,Res. Sólidos ,37904,0.82,0,100,0,0,67.69,0,287.54,412.59,58.78,60,0.22,,0,41.22,40,0
420020,4200200,Agrolândia,SC,Sul,S ,1,2022,Prefeitura Municipal de Agrolândia,PMA,Local,Administração pública direta,Res. Sólidos ,53705.51,1.71,100,0,100,0,94.18,100,265.89,632.94,98.08,100,0.44,0.05,,0,0,0
420030,4200309,Agronômica,SC,Sul,S ,1,2022,Diretoria de Planejamento,dpsma,Local,Administração pública direta,Res. Sólidos ,19290.94,1.33,96.06,18.52,81.48,14.81,37.89,100,640.34,543.8,83.7,14.81,0.96,0.06,0,3.94,3.7,18.52
150034,1500347,Água Azul do Norte,PA,Norte,N ,1,2022,Prefeitura Municipal de Água Azul do Norte,PMAAN,Local,Administração pública direta,Res. Sólidos ,24205,1.2,0,100,0,,92.21,37.57,,78.57,95.93,,2.84,,,0,,
310060,3100609,Água Boa,MG,Sudeste,SE,1,2022,"SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTES E URBANISMO",SEMOTURB,Local,Administração pública direta,Res. Sólidos ,12905.2,2.26,0,40,60,,66.72,81.4,,22.87,9.14,,0.84,,,72.55,,
510020,5100201,Água Boa,MT,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Água Boa,PMAB,Local,Administração pública direta,Res. Sólidos ,77523.97,4.28,100,43.33,56.67,10,100,38.14,2313.95,100.97,42.11,43.33,1.82,0.02,35.71,24.4,23.33,18.33
270010,2700102,Água Branca,AL,Nordeste,NE,1,2022,Prefeitura Municipal de Água Branca,PMAB,Local,Administração pública direta,Res. Sólidos ,40000,3.62,60.34,0,100,3.45,27.78,100,958.47,333.33,43.1,17.24,0.77,1,100,25.86,41.38,20.69
250010,2500106,Água Branca,PB,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE ÁGUA BRANCA,PMAB,Local,Administração pública direta,Res. Sólidos ,,9.52,0,,,,80.34,100,403.83,329.51,22.49,35.71,0.24,,0,69.97,57.14,0
220020,2200202,Água Branca,PI,Nordeste,NE,1,2022,SECRETARIA MUNICIPAL DE MEIO AMBIENTE,SEMAM,Local,Administração pública direta,Res. Sólidos ,80556.61,2.44,,0,100,,89.63,100,,,,,0.59,,,,,
500020,5000203,Água Clara,MS,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Água Clara,PMAC,Local,Administração pública direta,Res. Sólidos ,24716.09,0.84,,18.87,81.13,18.87,100,100,1602.24,,,15.09,0.66,0.92,100,,52.83,13.21
310070,3100708,Água Comprida,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE ÁGUA COMPRIDA,PMAC,Local,Administração pública direta,Res. Sólidos ,17812.5,1.2,5.26,100,0,6.25,74.24,0,370.61,224.14,45.61,31.25,1.02,0.52,0,49.12,43.75,18.75
420040,4200408,Água Doce,SC,Sul,S ,1,2022,Prefeitura Municipal de Água Doce,PMAD,Local,Administração pública direta,Res. Sólidos ,79529.09,4.26,,45.45,54.55,,47.63,100,,,,,1.08,1.31,,,,
210015,2100154,Água Doce do Maranhão,MA,Nordeste,NE,1,2022,Prefeitura Municipal de Água Doce do Maranhão,PMADM,Local,Administração pública direta,Res. Sólidos ,27500,4.4,45.45,50,50,,41.18,18.92,,115.79,25,,0.3,,,25,,
320016,3200169,Água Doce do Norte,ES,Sudeste,SE,1,2022,Secretaria Municipal de Meio Ambiente,SEMAADN,Local,Administração pública direta,Res. Sólidos ,7411.38,2.79,9.89,100,0,,43.37,9.23,,60.52,13.66,,0.69,,,76.45,,
290040,2900405,Água Fria,BA,Nordeste,NE,1,2022,SECRETARIA DE INFRAESTRUTURA E SERVICOS PÚBLICOS,SEINFRA,Local,Administração pública direta,Res. Sólidos ,,3.24,,,,,68.98,0,,,,,0.65,,,,,
520017,5200175,Água Fria de Goiás,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Água Fria de Goiás,PMÁFG,Local,Administração pública direta,Res. Sólidos ,59518.52,3.96,,100,0,,46.99,0,,,,,0.95,,,,,
350030,3500303,Aguaí,SP,Sudeste,SE,2,2022,Prefeitura Municipal de Aguai,PMA,Local,Administração pública direta,Res. Sólidos ,36142.86,1.33,13.6,45.71,54.29,5.71,88.77,0,1524.81,115.24,65.22,42.86,0.69,1.68,100,16.76,17.14,22.86
520020,5200209,Água Limpa,GO,Centro-Oeste,CO,1,2022,PREFEITURA MUNICIPAL DE AGUA LIMPA,PMAL,Local,Administração pública direta,Res. Sólidos ,4625,0.46,14.41,100,0,16.67,69.97,0,1038.34,14.38,33.69,33.33,2.74,,0,35.68,25,16.67
310080,3100807,Aguanil,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE AGUANIL,PM,Local,Administração pública direta,Res. Sólidos ,32199.83,1.17,0,100,0,0,89.51,0,191.69,356.59,33.22,50,0.21,,0,0,40,10
240040,2400406,Água Nova,RN,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE ÁGUA NOVA,PMAN,Local,Administração pública direta,Res. Sólidos ,27659.82,3.4,46.44,53.57,46.43,7.14,100,49.02,203.67,470.59,30.99,28.57,0.47,,42.86,53.92,50,14.29
430005,4300059,Água Santa,RS,Sul,S ,1,2022,SECRETARIA DE SERVIÇOS URBANOS,SSU,Local,Administração pública direta,Res. Sólidos ,27238.21,1.26,100,46.15,53.85,,99.39,100,,452.43,53.57,,0.3,,,8.59,,
260050,2600500,Águas Belas,PE,Nordeste,NE,2,2022,SECRETARIA DE INFRAESTRUTURA,SISP,Local,Administração pública direta,Res. Sólidos ,35426.86,0.98,62.45,60.98,39.02,7.32,61.05,0,1232.51,106.03,22.53,19.51,0.33,2.88,38.46,39.05,63.41,9.76
350040,3500402,Águas da Prata,SP,Sudeste,SE,1,2022,Secretaria Municipal de Obras e Serviços,SEMOSP,Local,Administração pública direta,Res. Sólidos ,,0.7,0,,,,96.01,2.71,942.49,237.95,93.67,13.33,0.46,0.17,50,0,40,40
420050,4200507,Águas de Chapecó,SC,Sul,S ,1,2022,Prefeitura Municipal de Águas de Chapecó,PMAGUAS,Local,Administração pública direta,Res. Sólidos ,111951.78,1.55,,25,75,,82.84,100,,,,,1.11,0.5,,,,
350050,3500501,Águas de Lindóia,SP,Sudeste,SE,1,2022,Secretaria Municipal de Obras e Serviços Públicos,S.O.,Local,Administração pública direta,Res. Sólidos ,,2.83,,,,,98.57,20,1424.7,,,38.24,0.9,0.07,0,,23.53,35.29
350055,3500550,Águas de Santa Bárbara,SP,Sudeste,SE,1,2022,MUNICIPIO DE AGUAS DE SANTA BARBARA,SP,Local,Administração pública direta,Res. Sólidos ,55364.99,1.61,100,29.41,70.59,,99.18,100,,406.68,66.83,,0.6,,,11.43,,
350060,3500600,Águas de São Pedro,SP,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL- SECRETARIA DE  SERVIÇOS URBANOS  E MEIO AMBIENTE,S.U.,Local,Administração pública direta,Res. Sólidos ,68905.83,5.26,14.95,82.76,17.24,17.24,100,2.45,3194.36,459.6,68.99,10.34,2.96,0.17,25,12.14,27.59,17.24
310090,3100906,Águas Formosas,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE ÁGUAS FORMOSAS,PMAF,Local,Administração pública direta,Res. Sólidos ,52068.97,5.3,70.2,60.34,39.66,0,75.89,100,1214.06,473.68,59.6,17.24,0.74,,100,10.6,22.41,25.86
420055,4200556,Águas Frias,SC,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE ÁGUAS FRIAS,PMAF,Local,Administração pública direta,Res. Sólidos ,69627.85,1.32,100,0,100,0,39.94,100,479.23,428.67,92.35,100,1.45,0.5,,0,0,0
520025,5200258,Águas Lindas de Goiás,GO,Centro-Oeste,CO,3,2022,SECRETARIA MUNICIPAL DE MEIO AMBIENTE,SEMMA,Local,Administração pública direta,Res. Sólidos ,79324.44,2.31,,69.59,30.41,6.43,92.42,100,6578.05,233.84,,16.37,0.76,0.86,0,,35.09,12.28
420060,4200606,Águas Mornas,SC,Sul,S ,1,2022,Prefeitura Municipal de Águas Mornas,PMAM,Local,Administração pública direta,Res. Sólidos ,51424.16,2.22,0,71.43,28.57,14.29,66.17,0,856.23,175.73,32.71,35.71,0.82,0.07,0,13.79,21.43,28.57
430010,4300109,Agudo,RS,Sul,S ,1,2022,PREFEITURA MUNICIPAL DE AGUDO,PM AGUDO,Local,Administração pública direta,Res. Sólidos ,30782.61,9.08,82.34,17.39,82.61,21.74,49.87,100,599.04,333.33,70.62,34.78,0.51,0.1,0,6.36,4.35,26.09
350070,3500709,Agudos,SP,Sudeste,SE,2,2022,Prefeitura Municipal de Agudos,PMA,Local,Administração pública direta,Res. Sólidos ,21212.05,0.74,2.68,97.14,2.86,11.43,99.59,0,4297.12,37.92,34.35,14.29,0.98,0.11,0,33.67,28.57,42.86
410030,4100301,Agudos do Sul,PR,Sul,S ,1,2022,Prefeitura Municipal de Agudos do Sul,PMAGS,Local,Administração pública direta,Res. Sólidos ,46705.45,1.24,,81.82,18.18,27.27,58.63,100,958.47,,,36.36,0.58,0.24,0,,18.18,18.18
320013,3200136,Águia Branca,ES,Sudeste,SE,1,2022,Prefeitura Municipal de Águia Branca,PMAB,Local,Administração pública direta,Res. Sólidos ,63947.08,1.93,32.6,100,0,5.56,57.59,100,,124.6,30.95,0,1.4,1.01,0,42.17,55.56,22.22
250020,2500205,Aguiar,PB,Nordeste,NE,1,2022,Prefeitura Municipal de Aguiar,PMA,Local,Administração pública direta,Res. Sólidos ,,2.96,3.61,,,,48.93,79.34,,72.12,11.34,,1.35,0.1,,76.54,,
170030,1700301,Aguiarnópolis,TO,Norte,N ,1,2022,Prefeitura Municipal de Aguiarnópolis/Secretaria de meio ambiente,PMA,Local,Administração pública direta,Res. Sólidos ,,0.64,6.17,,,,85.41,0,,156.92,52.01,,0.46,,,0,,
310110,3101102,Aimorés,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE AIMORES,PMA,Local,Administração pública direta,Res. Sólidos ,4054.05,0.44,,100,0,,83.11,0,,,,,0.1,,,,,
290060,2900603,Aiquara,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Aiquara,PMA,Local,Administração pública direta,Res. Sólidos ,68140.46,2.98,80.41,55.56,44.44,,92.4,95.67,,328.19,45.7,,1.14,0.15,,19.59,,
230040,2300408,Aiuaba,CE,Nordeste,NE,1,2022,Prefeitura Municipal Aiuaba,PMA,Local,Administração pública direta,Res. Sólidos ,53503.8,1.51,100,32.14,67.86,7.14,71.04,100,1677.32,357.34,75.14,21.43,0.86,,27.27,13.35,39.29,0
310120,3101201,Aiuruoca,MG,Sudeste,SE,1,2022,PREFEITURA MUNICIPAL DE AIURUOCA,PMA,Local,Administração pública direta,Res. Sólidos ,30230.77,1.24,0,100,0,,93.74,0,,487.79,97.56,,0.37,,,0,,
430020,4300208,Ajuricaba,RS,Sul,S ,1,2022,"Secretaria Municipal de Obras, Serviços Urbanos e Trânsito",SMOSUT,Local,Administração pública direta,Res. Sólidos ,33181.82,0.96,,63.64,36.36,9.09,56.52,100,787.46,,,36.36,0.71,,0,,18.18,36.36
310130,3101300,Alagoa,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Alagoa,PMA,Local,Administração pública direta,Res. Sólidos ,33907.03,1.17,89.06,25,75,12.5,72.75,100,424.92,74.38,10.94,37.5,0.55,0.23,100,42.15,25,25
250030,2500304,Alagoa Grande,PB,Nordeste,NE,1,2022,Secretaria de Meio Ambiente e Recursos Naturais,SEMAAG,Local,Administração pública direta,Res. Sólidos ,25959.18,2.11,0,100,0,6.12,88.5,0,3032.27,37.93,28.3,20.41,1.13,0.01,0,59.43,48.98,20.41
250050,2500502,Alagoinha,PB,Nordeste,NE,1,2022,Prefeitura Municipal,PMA,Local,Administração pública direta,Res. Sólidos ,9620.8,0.78,0,100,0,,55.4,0,,,,,0.19,,,,,
260060,2600609,Alagoinha,PE,Nordeste,NE,1,2022,Prefeitura Municipal de Alagoinha,PMA,Local,Administração pública direta,Res. Sólidos ,13957,0.75,5.49,100,0,16.67,70.19,0,635.38,98.05,37.26,26.67,0.44,0.38,0,35.52,26.67,6.67
220025,2200251,Alagoinha do Piauí,PI,Nordeste,NE,1,2022,PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI,PMAPI,Local,Administração pública direta,Res. Sólidos ,63960.32,2.23,0,0,100,,73.25,0.26,,,,,0.44,,,,,
290070,2900702,Alagoinhas,BA,Nordeste,NE,3,2022,SECRETARIA DE SERVIÇOS PÚBLICOS,SESEP,Local,Administração pública direta,Res. Sólidos ,182002.82,4.14,99.12,6.77,93.23,9.77,94.08,100,3120.59,154.85,29.17,32.33,0.88,,100,49.37,29.32,24.06
350075,3500758,Alambari,SP,Sudeste,SE,1,2022,Prefeitura municipal de Aalambari,PMA,Local,Administração pública direta,Res. Sólidos ,32666.67,1.88,21.43,100,0,6.67,99.1,0,532.48,200,40.82,40,0.45,0.6,0,20.41,26.67,26.67
310140,3101409,Albertina,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Albertina,PMA,Local,Administração pública direta,Res. Sólidos ,8281.86,0.56,53.67,100,0,6.67,99.63,0,271.03,113.06,46.33,40,0.47,0.1,0,0,13.33,40
230050,2300507,Alcântaras,CE,Nordeste,NE,1,2022,Prefeitura Municipal de Alcântaras,PMA,Local,Administração pública direta,Res. Sólidos ,45907.2,3.51,56.34,50,50,10.53,31.98,100,386,458.49,39.37,31.58,1.13,0.25,19.05,43.13,55.26,2.63
250053,2500536,Alcantil,PB,Nordeste,NE,1,2022,Secretaria de Infraestrutura,SI,Local,Administração pública direta,Res. Sólidos ,1259.26,2.27,0,96.3,3.7,7.41,39.4,0,638.98,36.67,64.71,11.11,0.75,,0,2.94,44.44,22.22
500025,5000252,Alcinópolis,MS,Centro-Oeste,CO,1,2022,"SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, AGRICULTURA, PECUÁRIA, TURISMO E MEIO AMBIENTE",SEMUDES,Local,Administração pública direta,Res. Sólidos ,24573.49,1.43,100,0,100,4,100,100,495.21,268.67,18.37,8,0.25,1.43,100,75.32,48,40
290080,2900801,Alcobaça,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Alcobaça,PMA,Local,Administração pública direta,Res. Sólidos ,23200,0.74,0,100,0,24,89.69,0,,345.24,100,0,0.21,,,0,0,60
210030,2100303,Aldeias Altas,MA,Nordeste,NE,1,2022,Prefeitura Municipal de Aldeias Altas,PMAA,Local,Administração pública direta,Res. Sólidos ,111857.06,1.94,,4.55,95.45,9.09,58.75,100,7296.06,,,27.27,2.74,,100,,45.45,18.18
430030,4300307,Alecrim,RS,Sul,S ,1,2022,Secretaria de Desenvolvimento Rural e Meio Ambiente,SMDRMA,Local,Administração pública direta,Res. Sólidos ,57403.75,1.08,,57.14,42.86,,65.33,100,,,,,0.41,,,,,
320020,3200201,Alegre,ES,Sudeste,SE,1,2022,Prefeitura Municipal de Alegre,PMA,Local,Administração pública direta,Res. Sólidos ,80889.25,4.47,42.51,92,8,0,80.54,3.18,1077.82,239.1,57.49,56,0.57,0.31,,0,0,36
430040,4300406,Alegrete,RS,Sul,S ,2,2022,Prefeitura Municipal de Alegrete,PMA,Local,Administração pública direta,Res. Sólidos ,49572.5,2.1,,71.56,28.44,0.92,89.05,3.35,930.35,,,45.87,0.64,0.4,0,,17.43,7.34
430045,4300455,Alegria,RS,Sul,S ,1,2022,Prefeitura Municipal de Alegria,PM,Local,Administração pública direta,Res. Sólidos ,27369,0.34,,66.67,33.33,,100,0,,,,,0.22,2.99,,,,
310150,3101508,Além Paraíba,MG,Sudeste,SE,2,2022,Secretaria Municipal de Serviços e Obras Públicas,SMSOP,Local,Administração pública direta,Res. Sólidos ,13333.33,2.5,,66.67,33.33,,93.03,100,,,,,0.59,0.07,,,,
150040,1500404,Alenquer,PA,Norte,N ,2,2022,Prefeitura Municipal de Alenquer,PMA,Local,Administração pública direta,Res. Sólidos ,,1.65,0,,,,75.69,0,1203.24,,,53.77,1.12,,0,,18.87,18.87
