-,-,-,-,-,-,-,-,-,-,-,-,-,IN002,IN003,IN004,IN007,IN008,IN010,IN015,IN017,IN018,IN023,IN024,IN025,IN028,IN037,IN041,IN046,IN047,IN052
241120,2411205,Santa Cruz,RN,Nordeste,NE,2,2022,Prefeitura Municipal de Santa Cruz - RN,PMSC,Local,Administração pública direta,Res. Sólidos ,,4.35,59.26,,,,85.02,38.59,4807.24,77.67,43.12,20.55,1.98,0.29,70.59,42.76,46.58,5.48
292770,2927705,Santa Cruz Cabrália,BA,Nordeste,NE,1,2022,Prefeitura Municipal,PMSCC,Local,Administração pública direta,Res. Sólidos ,46276.83,0.54,66.82,100,0,0,75.33,0,1065.28,277.08,46.07,23.08,0.12,0.13,0,18.43,38.46,38.46
261247,2612471,Santa Cruz da Baixa Verde,PE,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Cruz da    Baixa Verde,PMSCBV,Local,Administração pública direta,Res. Sólidos ,25198.34,1.2,100,0,100,,44.96,100,,179.61,39.48,,0.76,0.49,,26.62,,
354620,3546207,Santa Cruz da Conceição,SP,Sudeste,SE,1,2022,Setor Municipal de Água e Esgoto,SMAA,Local,Administração pública direta,Res. Sólidos ,27941.18,1.58,5.26,100,0,5.88,93.52,9.09,798.72,166.67,52.63,35.29,1.13,0.06,0,42.11,47.06,11.76
354625,3546256,Santa Cruz da Esperança,SP,Sudeste,SE,1,2022,"SECRETARIA DE OBRAS ,URBANISMO ,AGRICULTURA E MEIO AMBIENTE",SOURAMA,Local,Administração pública direta,Res. Sólidos ,,2.47,5.27,,,,68.15,0,745.47,,,20,1.33,0.14,0,,53.33,13.33
354630,3546306,Santa Cruz das Palmeiras,SP,Sudeste,SE,1,2022,Prefeitura Municipal,PM,Local,Administração pública direta,Res. Sólidos ,95938.41,2.69,74.71,54.84,45.16,6.45,96.87,80.1,2126.06,262.66,71.27,38.71,0.79,0.21,0,11.03,22.58,25.81
292780,2927804,Santa Cruz da Vitória,BA,Nordeste,NE,1,2022,Prefeitura Municipal de Santa Cruz da Vitória,PMSCV,Local,Administração pública direta,Res. Sólidos ,18870.27,2.7,75.34,100,0,2.7,75.92,0,371.41,348.39,23.2,10.81,0.36,0.65,0,56,59.46,13.51
521920,5219209,Santa Cruz de Goiás,GO,Centro-Oeste,CO,1,2022,Prefeitura Municipal de Santa Cruz de Goiás,PMSCG,Local,Administração pública direta,Res. Sólidos ,7910.46,0.32,8.62,100,0,8.33,32.31,3.48,356.76,155.37,54.83,25,0.97,0.29,0,36.55,41.67,25
315733,3157336,Santa Cruz de Minas,MG,Sudeste,SE,1,2022,Prefeitura Municipal de Santa Cruz de Minas,PMSCM,Local,Administração pública direta,Res. Sólidos ,18383.43,2.29,0,100,0,14.71,100,0,488.69,217.63,53.26,29.41,0.52,,0,41.42,23.53,29.41
412330,4123303,Santa Cruz de Monte Castelo,PR,Sul,S ,1,2022,Prefeitura Municipal de Santa Cruz de Monte Castelo,PM SCMC,Local,Administração pública direta,Res. Sólidos ,41135.3,2.67,16.98,68.18,31.82,,71.23,0,,290.35,77.64,,1.08,0.08,,6.78,,
